r1bq1rk1/ppp1npb1/2n3pp/4p3/3PP3/3P1NP1/PP2NPBP/R1BQ1RK1 b - - 0 10,0.81,0.28,-0.02,0.04,0.25,0.0,0.2,0.0,e5d4,0.29,0.0,0.08,0.0,0.08,0.0,-0.06,0.0,c6d4,-0.11,0.0,-0.07,-0.17,-0.28,0.0,0.0,0.0
r1bq1rk1/ppp1npb1/2n3pp/8/3pP3/P2P1NP1/1P2NPBP/R1BQ1RK1 b - - 0 11,0.24,0.0,0.13,0.0,0.12,0.0,-0.06,0.0,a7a5,0.27,0.0,0.04,0.0,0.08,0.0,-0.06,0.0,a7a5,0.27,0.0,0.04,0.0,0.08,0.0,-0.06,0.0
r1bq1rk1/1pp1npb1/2n3pp/p7/3pP2N/P2P2P1/1P2NPBP/R1BQ1RK1 b - - 1 12,0.07,0.0,-0.0,0.02,-0.31,0.0,-0.06,0.0,a5a4,-0.01,0.0,-0.02,0.02,-0.31,0.0,-0.08,0.0,g6g5,0.08,0.0,-0.28,0.11,-0.9,0.0,-0.12,0.0
r1bq1rk1/1pp1npb1/2n3pp/8/p2pPP1N/P2P2P1/1P2N1BP/R1BQ1RK1 b - - 0 13,-0.02,0.0,0.04,-0.31,-0.1,0.0,0.15,0.0,c6a5,0.18,0.0,0.11,-0.27,0.5,0.0,0.15,0.0,a8a6,-0.05,0.0,0.04,-0.31,-0.1,0.0,0.15,0.0
r1bq1rk1/1pp1npb1/6pp/n4P2/p2pP2N/P2P2P1/1P2N1BP/R1BQ1RK1 b - - 0 14,0.09,0.0,0.42,0.65,0.25,0.0,0.31,0.0,a8a6,0.06,0.0,0.32,0.63,0.25,0.0,0.31,0.0,a5b3,-0.19,0.0,0.24,0.61,-1.4,0.0,0.23,0.0
2bq1rk1/1pp1npb1/r5pp/n4P2/p2pP2N/P2P2P1/1P2N1BP/R1BQ1R1K b - - 2 15,-0.21,0.0,0.34,0.71,0.25,0.0,0.31,0.0,a5b3,-0.49,0.0,0.15,0.67,-1.4,0.0,0.23,0.0,a5b3,-0.49,0.0,0.15,0.67,-1.4,0.0,0.23,0.0
2bq1rk1/1pp1npb1/r5pp/5P2/p2pP2N/Pn1P2P1/1P2N1BP/1RBQ1R1K b - - 4 16,-0.43,0.0,0.15,0.67,-0.64,0.0,0.23,0.0,g6g5,-0.43,0.0,-0.07,0.41,-1.24,0.0,0.08,0.0,c7c5,-0.41,0.0,-0.03,0.63,-0.64,-0.15,0.0,0.0
2bq1rk1/1pp1npb1/r6p/5Pp1/p2pP3/Pn1P1NP1/1P2N1BP/1RBQ1R1K b - - 1 17,-0.23,0.0,-0.1,0.4,-0.51,0.0,0.08,0.0,c7c5,-0.21,0.0,-0.34,0.4,-0.63,-0.15,-0.15,0.0,e7c6,-0.33,0.0,-0.21,0.4,-0.48,0.0,0.08,0.0
2bq1rk1/1p2npb1/r6p/2p2Pp1/p2pP3/Pn1P2P1/1P1NN1BP/1RBQ1R1K b - - 1 18,-0.31,0.0,-0.19,0.32,-0.3,0.0,-0.15,0.0,b3c1,-2.0,-0.76,0.01,0.32,0.05,0.0,-0.24,0.0,e7c6,-0.41,0.0,-0.28,0.32,-0.27,0.0,-0.15,0.0
2bq1rk1/1p2npb1/r6p/2p2Pp1/p2pP3/P2P2P1/1P1NN1BP/2RQ1R1K b - - 0 19,-0.35,-0.09,0.29,0.32,0.35,0.0,-0.07,0.0,b7b6,-0.26,-0.09,0.23,0.32,-0.03,0.0,-0.07,0.0,d8c7,-0.37,-0.09,0.22,0.25,0.15,0.0,-0.07,0.0
2bq1rk1/4npb1/rp3P1p/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2RQ1R1K b - - 0 20,-0.28,-0.09,0.19,0.39,1.74,0.0,-0.17,0.0,g7f6,-0.8,-0.33,0.01,-0.2,0.5,0.0,-0.34,0.0,g7f6,-0.8,-0.33,0.01,-0.2,0.5,0.0,-0.34,0.0
2bq1rk1/4np2/rp3R1p/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2RQ3K b - - 0 21,2.0,0.41,0.28,0.17,0.18,0.0,-0.12,0.0,e7g6,2.0,0.41,0.23,-0.12,-0.47,0.0,-0.12,0.0,e7g6,2.0,0.41,0.23,-0.12,-0.47,0.0,-0.12,0.0
2bq1rk1/5p2/rp3Rnp/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2R2Q1K b - - 2 22,2.0,0.41,0.22,0.08,-0.24,0.0,-0.12,0.0,g8g7,2.0,0.41,0.21,0.18,-0.72,0.0,-0.12,0.0,g8g7,2.0,0.41,0.21,0.18,-0.72,0.0,-0.12,0.0
2bq1r2/5pk1/rp4np/2p3p1/p2pP3/P2P2P1/1P1NNRBP/2R2Q1K b - - 4 23,2.0,0.41,-0.03,-0.2,-0.1,0.0,-0.24,0.0,g6e5,2.0,0.41,-0.22,-0.25,-0.39,-0.15,-0.24,0.0,g6e5,2.0,0.41,-0.22,-0.25,-0.39,-0.15,-0.24,0.0
2bq1r2/5pk1/rp5p/2p1n1p1/p2pP3/P2P2P1/1P1N1RBP/2R2QNK b - - 6 24,2.0,0.41,-0.13,-0.3,-0.06,-0.15,-0.24,0.0,e5g4,2.0,0.41,0.07,-0.62,-0.51,0.0,-0.24,0.0,e5g4,2.0,0.41,0.07,-0.62,-0.51,0.0,-0.24,0.0
2bq1r2/5pk1/rp5p/2p3p1/p2pP1n1/P2P2P1/1P1NR1BP/2R2QNK b - - 8 25,2.0,0.41,0.12,-0.41,-0.01,0.0,-0.24,0.0,g4e3,2.0,0.41,0.03,-0.43,-0.72,-0.15,-0.24,0.0,a6a7,2.0,0.41,-0.01,-0.44,-0.01,0.0,-0.24,0.0
2bq1r2/5pk1/rp5p/2p3p1/p2pP3/P2Pn1P1/1P1NRQBP/2R3NK b - - 10 26,2.0,0.41,0.09,-0.41,-0.49,-0.15,-0.24,0.0,e3g4,2.0,0.41,0.15,-0.4,-0.31,0.0,-0.24,0.0,f7f5,2.0,0.41,-0.11,-0.02,-0.46,-0.09,-0.41,0.0
2bq1r2/5pk1/rp5p/2p3p1/p2pP1n1/P2P2P1/1P1NR1BP/2R1Q1NK b - - 12 27,2.0,0.41,0.03,-0.58,0.21,0.0,-0.24,0.0,c8e6,2.0,0.41,-0.17,-0.63,0.21,-0.15,-0.24,0.0,g4e5,2.0,0.41,-0.17,-0.48,-0.37,-0.15,-0.24,0.0
3q1r2/5pk1/rp2b2p/2p3p1/p2pP1n1/P2P2P1/1P2R1BP/2R1QNNK b - - 14 28,2.0,0.41,-0.56,-0.44,0.26,-0.15,-0.24,0.0,g4e5,2.0,0.41,-0.7,-0.48,-0.37,-0.15,-0.24,0.0,g4e5,2.0,0.41,-0.7,-0.48,-0.37,-0.15,-0.24,0.0
3q1r2/5pk1/rp2b2p/2p1n1p1/p2pP3/P2P2P1/1P1R2BP/2R1QNNK b - - 16 29,2.0,0.41,-0.66,-0.48,0.0,-0.15,-0.24,0.0,e6g4,2.0,0.41,-0.69,-0.52,0.22,-0.15,-0.3,0.0,a6a7,2.0,0.41,-0.8,-0.5,0.0,-0.15,-0.24,0.0
r2q1rk1/pbpn1pp1/1p1ppn1p/8/1bPP3B/2NBPN2/PPQ2PPP/R3K2R w KQ - 2 10,-0.53,0.0,-0.38,-0.04,-0.33,0.0,0.3,0.0,a2a3,-0.59,0.0,-0.38,-0.04,0.6,0.0,0.3,0.0,e1g1,0.17,0.0,0.16,0.15,-0.3,0.0,0.3,0.0
r2q1rk1/pbpn1pp1/1p1ppn1p/8/2PP3B/P1bBPN2/1PQ2PPP/R3K2R w KQ - 0 11,,,,,,,,,b2c3,-0.23,0.05,-0.06,0.04,-0.37,0.0,0.21,0.0,c2c3,-0.24,0.05,-0.14,0.04,-0.48,0.0,0.31,0.0
r2q1rk1/pb1n1pp1/1p1ppn1p/2p5/2PP3B/P1PBPN2/2Q2PPP/R3K2R w KQ - 0 12,-0.21,0.05,-0.15,0.0,-0.37,0.0,0.06,0.0,f3d2,-0.31,0.05,-0.13,-0.08,-0.46,0.0,0.06,0.0,e1g1,0.5,0.05,-0.02,0.09,-0.37,0.0,0.06,0.0
2rq1rk1/pb1n1pp1/1p1ppn1p/2p5/2PP3B/P1PBP3/2QN1PPP/R3K2R w KQ - 2 13,-0.39,0.05,-0.14,-0.08,-0.46,0.0,0.06,0.0,e1g1,0.31,0.05,-0.01,-0.03,-0.12,0.0,0.06,0.0,e1g1,0.31,0.05,-0.01,-0.03,-0.12,0.0,0.06,0.0
2r2rk1/pbqn1pp1/1p1ppn1p/2p5/2PP3B/P1PBP3/2QN1PPP/R4RK1 w - - 4 14,0.29,0.05,0.02,-0.03,-0.12,0.0,0.06,0.0,c2b2,0.28,0.05,-0.04,-0.03,-0.16,0.0,0.06,0.0,a3a4,0.32,0.05,0.11,-0.02,-0.12,0.0,0.07,0.0
2r2rk1/pbqn1pp1/1p1p1n1p/2p1p3/2PP3B/P1PBP3/1Q1N1PPP/R4RK1 w - - 0 15,0.24,0.05,-0.0,-0.03,-0.36,0.0,-0.12,0.0,d4d5,0.15,0.05,0.12,0.1,-0.33,0.0,0.15,0.0,d4d5,0.15,0.05,0.12,0.1,-0.33,0.0,0.15,0.0
4rrk1/pbqn1pp1/1p1p1n1p/2pPp3/2P4B/P1PBP3/1Q1N1PPP/R4RK1 w - - 1 16,0.11,0.05,0.03,0.09,-0.33,0.0,0.15,0.0,f2f3,0.12,0.05,0.36,-0.13,-0.07,0.0,0.23,0.0,a3a4,0.13,0.05,0.17,0.1,-0.33,0.0,0.17,0.0
2b1rrk1/p1qn1pp1/1p1p1n1p/2pPp3/2P4B/P1PBPP2/1Q1N2PP/R4RK1 w - - 1 17,0.2,0.05,0.5,-0.11,0.0,0.0,0.23,0.0,a3a4,0.22,0.05,0.64,-0.09,0.0,0.0,0.26,0.0,b2c2,0.21,0.05,0.52,-0.11,0.03,0.0,0.23,0.0
2b1rrk1/2qn1pp1/1p1p1n1p/p1pPp3/P1P4B/2PBPP2/1Q1N2PP/R4RK1 w - - 0 18,0.25,0.05,0.66,-0.09,0.0,0.0,0.33,0.0,b2c2,0.27,0.05,0.51,-0.11,0.03,0.0,0.33,0.0,a1b1,0.31,0.05,0.7,-0.08,0.12,0.0,0.33,0.0
2b1rrk1/2qn1pp1/1p1p3p/p1pPp2n/P1P4B/2PBPP2/2QN2PP/R4RK1 w - - 2 19,0.47,0.05,0.9,0.26,-0.07,0.0,0.44,0.0,g2g4,0.45,0.05,0.9,-0.06,0.87,0.0,0.54,0.0,g2g4,0.45,0.05,0.9,-0.06,0.87,0.0,0.54,0.0
2b1rrk1/2qn1pp1/1p1p1n1p/p1pPp3/P1P3PB/2PBPP2/2QN3P/R4RK1 w - - 1 20,0.25,0.05,0.54,-0.45,0.07,0.0,0.44,0.0,h4g3,0.38,0.05,0.54,-0.5,0.07,0.0,0.44,0.0,h2h3,0.17,0.05,0.54,-0.38,0.07,0.0,0.44,0.0
2b1rr1k/2qn1pp1/1p1p1n1p/p1pPp3/P1P3P1/2PBPPB1/2QN3P/R4RK1 w - - 3 21,0.65,0.05,0.46,-0.69,0.07,0.0,0.44,0.0,h2h4,0.63,0.05,0.5,-0.76,0.07,0.0,0.44,0.0,f1f2,0.68,0.05,0.3,-0.69,0.07,0.0,0.44,0.0
2b1r1rk/2qn1pp1/1p1p1n1p/p1pPp3/P1P3PP/2PBPPB1/2QN4/R4RK1 w - - 1 22,0.66,0.05,0.5,-0.76,0.07,0.0,0.44,0.0,g1g2,0.55,0.05,0.63,-0.76,0.07,0.0,0.44,0.0,g1f2,0.22,0.05,0.47,-1.03,0.07,0.0,0.44,0.0
2b1rnrk/2q2pp1/1p1p1n1p/p1pPp3/P1P3PP/2PBPPB1/2QN2K1/R4R2 w - - 3 23,0.83,0.05,0.76,-0.84,0.07,0.0,0.44,0.0,f1h1,0.75,0.05,0.77,-0.8,0.07,0.0,0.44,0.0,a1b1,0.88,0.05,0.79,-0.84,0.15,0.0,0.44,0.0
2b1rnrk/4qpp1/1p1p1n1p/p1pPp3/P1P3PP/2PBPPB1/2QN2K1/R6R w - - 5 24,0.73,0.05,0.72,-0.8,0.03,0.0,0.44,0.0,d2e4,1.04,0.05,0.84,-0.84,0.12,0.0,0.44,0.0,a1b1,0.78,0.05,0.75,-0.8,0.38,0.0,0.44,0.0
2b1rnrk/4qpp1/1p1p3p/p1pPp3/P1P1n1PP/2PBPPB1/2Q3K1/R6R w - - 0 25,-2.0,-0.75,0.72,-1.03,1.07,0.0,0.12,0.0,d3e4,0.94,-0.0,0.79,-0.76,0.0,0.0,0.39,0.0,d3e4,0.94,-0.0,0.79,-0.76,0.0,0.0,0.39,0.0
2b1rnrk/4qp2/1p1p2pp/p1pPp3/P1P1B1PP/2P1PPB1/2Q3K1/R6R w - - 0 26,0.95,-0.0,0.61,-0.59,0.0,0.0,0.39,0.0,g4g5,0.87,-0.0,0.57,0.14,0.1,0.0,0.48,0.0,a1g1,1.0,-0.0,0.56,-0.59,0.0,0.0,0.39,0.0
2b1r1rk/4qp1n/1p1p2pp/p1pPp1P1/P1P1B2P/2P1PPB1/2Q3K1/R6R w - - 1 27,0.88,-0.0,0.72,0.07,0.07,0.0,0.48,0.0,a1b1,0.93,-0.0,0.75,0.09,0.41,0.0,0.48,0.0,e4d3,0.77,-0.0,0.77,0.1,0.3,0.0,0.48,0.0
2bqr1rk/5p1n/1p1p2pp/p1pPp1P1/P1P1B2P/2P1PPB1/2Q3K1/1R5R w - - 3 28,0.97,-0.0,0.85,0.12,0.15,0.0,0.48,0.0,c2b3,0.96,-0.0,0.76,0.09,0.18,0.0,0.48,0.0,g2f2,0.64,-0.0,0.71,-0.17,0.12,0.0,0.48,0.0
