r4rk1/pppqnppp/2nbb3/4p3/8/2NP1NP1/PPQ1PPBP/R1B2RK1 b - - 8 10,-0.18,0.0,-0.23,-0.15,-0.15,0.0,-0.13,0.0,e6h3,-0.02,0.0,-0.37,-0.3,-0.15,0.0,-0.13,0.0,e6h3,-0.02,0.0,-0.37,-0.3,-0.15,0.0,-0.13,0.0
r4rk1/pppqnppp/2nb4/4p3/4N3/3P1NPb/PPQ1PPBP/R1B2RK1 b - - 10 11,0.18,0.0,-0.29,-0.24,-0.0,0.0,-0.13,0.0,h3g2,-2.0,-0.76,-0.36,-0.85,-0.28,0.0,-0.19,0.0,h3g2,-2.0,-0.76,-0.36,-0.85,-0.28,0.0,-0.19,0.0
r4rk1/pppqnppp/2nb4/4p3/4N3/3P1NP1/PPQ1PPKP/R1B2R2 b - - 0 12,-0.05,0.0,-0.14,-0.08,-0.07,0.0,-0.11,0.0,f7f5,-0.04,0.0,-0.16,2.0,-0.67,0.0,-0.18,0.0,g8h8,0.22,0.0,-0.29,-0.24,-0.07,0.0,-0.11,0.0
r4rk1/pppqn1pp/2nb4/2N1pp2/8/3P1NP1/PPQ1PPKP/R1B2R2 b - - 1 13,-0.06,0.0,-0.15,1.56,0.22,0.0,-0.18,0.0,d6c5,-2.0,-0.66,-0.44,1.26,0.35,0.0,-0.26,0.0,d6c5,-2.0,-0.66,-0.44,1.26,0.35,0.0,-0.26,0.0
r4rk1/pppqn1pp/2n5/2Q1pp2/8/3P1NP1/PP2PPKP/R1B2R2 b - - 0 14,0.04,-0.22,-0.11,0.83,-0.33,0.0,-0.15,0.0,e5e4,0.18,-0.22,-0.02,0.92,-1.22,0.0,-0.15,0.0,a8e8,-0.09,-0.22,-0.16,0.81,-0.3,0.0,-0.15,0.0
r4rk1/pppqn1pp/2n5/2Q2p2/4P3/5NP1/PP2PPKP/R1B2R2 b - - 0 15,0.96,0.0,0.09,1.05,-0.45,-0.03,0.03,0.0,f5e4,0.19,-0.17,-0.04,0.81,-1.44,0.0,-0.1,0.0,f5e4,0.19,-0.17,-0.04,0.81,-1.44,0.0,-0.1,0.0
r4rk1/pppqn1pp/2n5/8/2Q1p3/5NP1/PP2PPKP/R1B2R2 b - - 1 16,,,,,,,,,d7d5,0.19,-0.17,0.36,0.24,-0.19,0.0,-0.12,0.0,d7d5,0.19,-0.17,0.36,0.24,-0.19,0.0,-0.12,0.0
r4rk1/ppp1n1pp/2n5/3Q4/4p3/5NP1/PP2PPKP/R1B2R2 b - - 0 17,,,,,,,,,e7d5,-0.12,-0.12,-0.0,0.14,-0.76,0.0,0.0,0.0,e7d5,-0.12,-0.12,-0.0,0.14,-0.76,0.0,0.0,0.0
r4rk1/ppp3pp/2n5/3n2N1/4p3/6P1/PP2PPKP/R1B2R2 b - - 1 18,-0.09,-0.12,-0.09,0.1,0.25,0.0,0.0,0.0,e4e3,0.0,-0.12,-0.33,-0.38,-0.2,0.0,0.0,0.0,f8e8,-0.13,-0.12,-0.09,0.18,-0.08,0.0,0.0,0.0
r4rk1/ppp3pp/2n5/3n2N1/8/4B1P1/PP2PPKP/R4R2 b - - 0 19,0.69,0.09,0.29,0.14,-0.51,-0.12,0.0,0.0,f8e8,0.65,0.09,0.29,0.18,-0.58,-0.12,0.0,0.0,d5e3,,,,,,,,
