rnbqr1k1/pp3pbp/3p1np1/2pP4/2P5/2NBBN1P/PP3PP1/R2QK2R b KQ - 2 10,-0.25,0.0,0.12,0.26,-0.03,0.0,0.38,0.0,g7h6,-0.18,0.0,0.12,0.15,-0.44,0.0,0.38,0.0,c8f5,-0.41,0.0,-0.12,0.05,0.16,0.0,0.31,0.0
rnbqr1k1/pp3p1p/3p1npb/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 b - - 4 11,0.52,0.0,0.63,0.22,0.3,0.0,0.38,0.0,h6e3,-2.0,-0.76,0.27,-0.0,0.9,0.0,0.19,0.0,h6e3,-2.0,-0.76,0.27,-0.0,0.9,0.0,0.19,0.0
rnbqr1k1/pp3p1p/3p1np1/2pP4/2P5/2NBPN1P/PP4P1/R2Q1RK1 b - - 0 12,0.47,0.0,0.6,-0.14,-0.38,0.0,0.4,0.0,b8d7,0.1,0.0,0.54,-0.03,-0.38,0.0,0.4,0.0,d8e7,0.43,0.0,0.53,-0.52,-0.38,0.0,0.4,0.0
r1bqr1k1/pp1n1p1p/3p1np1/2pP4/2P1P3/2NB1N1P/PP4P1/R2Q1RK1 b - - 0 13,0.14,0.0,0.59,-0.07,-0.04,0.15,0.54,0.0,g8g7,0.25,0.0,0.45,-0.07,-0.04,0.15,0.54,0.0,d8e7,0.1,0.0,0.61,-0.07,-0.04,0.15,0.54,0.0
r1bqr3/pp1n1pkp/3p1np1/2pP4/2P1P3/2NB1N1P/PP1Q2P1/R4RK1 b - - 2 14,0.29,0.0,0.53,0.09,-0.12,0.15,0.54,0.0,d7e5,-0.01,0.0,0.53,-0.04,-0.47,0.0,0.47,0.0,d7e5,-0.01,0.0,0.53,-0.04,-0.47,0.0,0.47,0.0
r1bqr3/pp3pkp/3p1np1/2pPN3/2P1P3/2NB3P/PP1Q2P1/R4RK1 b - - 0 15,2.0,0.66,0.61,1.31,-1.21,0.0,0.66,0.0,e8e5,0.2,0.0,0.47,0.07,-0.08,0.0,0.47,0.0,e8e5,0.2,0.0,0.47,0.07,-0.08,0.0,0.47,0.0
r1bq4/pp3pkp/3p1np1/2pPr3/2P1PQ2/2NB3P/PP4P1/R4RK1 b - - 1 16,0.18,0.0,0.47,0.27,-0.06,0.0,0.47,0.0,d8e7,0.14,0.0,0.65,0.27,-0.06,0.0,0.47,0.0,d8e7,0.14,0.0,0.65,0.27,-0.06,0.0,0.47,0.0
r1b5/pp2qpkp/3p1np1/2pPr3/2P1PQP1/2NB3P/PP6/R4RK1 b - - 0 17,0.13,0.0,0.7,-0.11,0.22,0.0,0.47,0.0,h7h5,0.14,0.0,0.65,0.4,0.18,0.0,0.47,0.0,h7h5,0.14,0.0,0.65,0.4,0.18,0.0,0.47,0.0
r1b5/pp2qpk1/3p1np1/2pPr1Pp/2P1PQ2/2NB3P/PP6/R4RK1 b - - 0 18,0.06,0.0,0.5,-0.31,0.64,0.0,0.69,0.0,f6h7,0.46,0.0,0.61,-1.26,-0.02,0.0,0.69,0.0,f6h7,0.46,0.0,0.61,-1.26,-0.02,0.0,0.69,0.0
r1b5/pp2qpkn/3p2p1/2pPr1Pp/2P1PQ1P/2NB4/PP6/R4RK1 b - - 0 19,0.53,0.0,0.79,0.2,0.47,0.0,0.88,0.0,h7g5,-0.42,-0.17,0.47,-2.0,1.16,0.0,0.47,0.0,c8d7,0.47,0.0,0.52,0.08,0.5,0.0,0.88,0.0
r1b5/pp2qpk1/3p2p1/2pPr1Pp/2P1PQ2/2NB4/PP6/R4RK1 b - - 0 20,2.0,0.51,0.48,-1.69,0.32,-0.08,0.61,0.0,e5g5,,,,,,,,,e5g5,,,,,,,,
r1b5/pp2qpk1/3p2p1/2pP2rp/2P1PQ2/2NB4/PP3K2/R4R2 b - - 1 21,2.0,0.34,0.47,-1.03,-0.15,0.05,0.3,0.0,g5g4,2.0,0.34,0.45,-2.0,-1.25,-0.09,0.3,0.0,g5g4,2.0,0.34,0.45,-2.0,-1.25,-0.09,0.3,0.0
r1b5/pp2qpk1/3p2p1/2pP3p/2P1P1r1/2NB4/PP3K1Q/R4R2 b - - 3 22,2.0,0.34,0.31,-2.0,-0.24,0.0,0.3,0.0,g4h4,2.0,0.34,0.28,-2.0,-0.81,0.05,0.3,0.0,g4h4,2.0,0.34,0.28,-2.0,-0.81,0.05,0.3,0.0
r1b5/pp2qpk1/3p2p1/2pP3p/2P1P2r/2NB2Q1/PP3K2/R4R2 b - - 5 23,2.0,0.34,0.41,-1.87,-0.56,0.05,0.3,0.0,h4h3,2.0,0.34,0.33,-2.0,-0.71,0.0,0.21,0.0,h4h3,2.0,0.34,0.33,-2.0,-0.71,0.0,0.21,0.0
r1b5/pp2qpk1/3p2p1/2pP3p/2P1PQ2/2NB3r/PP3K2/R4R2 b - - 7 24,2.0,0.34,0.34,-0.81,-0.99,0.0,0.21,0.0,h3d3,-1.78,-0.02,0.12,-0.75,-0.06,0.0,0.0,0.0,h3d3,-1.78,-0.02,0.12,-0.75,-0.06,0.0,0.0,0.0
r1b5/pp2qpk1/3p2p1/1NpP3p/2P1PQ2/3r4/PP3K2/R4R2 b - - 1 25,-1.75,-0.02,0.08,-0.96,-0.28,0.0,0.0,0.0,g6g5,-1.74,-0.02,0.13,-0.93,-1.14,-0.06,0.0,0.0,g6g5,-1.74,-0.02,0.13,-0.93,-1.14,-0.06,0.0,0.0
r1b5/pp2qpk1/3p4/1NpP2pp/2P1PQ2/3r4/PP3K2/R5R1 b - - 1 26,-1.77,-0.02,0.24,1.54,-1.1,-0.06,0.0,0.0,c8g4,-1.95,-0.02,-0.05,-2.0,-1.43,-0.1,0.0,0.0,c8g4,-1.95,-0.02,-0.05,-2.0,-1.43,-0.1,0.0,0.0
r7/pp2qpk1/3p4/1NpP2pp/2P1PQR1/3r4/PP3K2/R7 b - - 0 27,2.0,0.38,0.1,1.63,-1.66,-0.01,0.0,0.0,h5g4,-2.0,0.59,0.04,-0.7,-1.4,-0.27,0.0,0.0,h5g4,-2.0,0.59,0.04,-0.7,-1.4,-0.27,0.0,0.0
r7/pp2qpk1/3p4/1NpP2p1/2P1P1Q1/3r4/PP3K2/R7 b - - 0 28,-2.0,0.69,0.05,-2.0,0.02,-0.03,0.0,0.0,f7f5,-2.0,0.69,-0.04,-2.0,0.02,-0.05,0.0,0.0,e7e5,-2.0,0.69,-0.02,-2.0,0.0,-0.03,0.0,0.0
r7/pp2q1k1/3p4/1NpP1Pp1/2P3Q1/3r4/PP3K2/R7 b - - 0 29,-2.0,0.75,-0.1,-2.0,0.19,0.17,0.0,0.0,e7e3,,,,,,,,,d3d2,,,,,,,,
r1bqk2r/p2pppbp/2p3pn/4P3/3B4/2N5/PPP2PPP/R2QKB1R w KQkq - 3 10,0.38,0.0,0.39,0.42,-0.1,0.0,0.26,0.0,e5e6,0.28,0.0,0.32,0.83,-0.18,0.0,0.15,0.0,e5e6,0.28,0.0,0.32,0.83,-0.18,0.0,0.15,0.0
