r2q1rk1/pbpp2pp/1p1bpn2/2nP1p2/2PN4/P1N3P1/1P2PPBP/R1BQ1RK1 b - - 6 10,-0.23,0.0,-0.01,0.08,0.07,0.0,0.15,0.0,d6e5,-0.34,0.0,0.03,0.12,0.2,0.0,0.1,0.0,d6e5,-0.34,0.0,0.03,0.12,0.2,0.0,0.1,0.0
r2q1rk1/pbpp2pp/1p2pn2/2nPbp2/2PN4/P1N1B1P1/1P2PPBP/R2Q1RK1 b - - 8 11,-0.22,0.0,0.22,0.12,0.3,0.0,0.1,0.0,f6g4,-0.25,0.0,0.11,-0.19,0.24,0.0,0.1,0.0,f6g4,-0.25,0.0,0.11,-0.19,0.24,0.0,0.1,0.0
r2q1rk1/pbpp2pp/1p2p3/2nPbp2/1PPN2n1/P1N1B1P1/4PPBP/R2Q1RK1 b - - 0 12,-0.38,0.0,0.11,-0.19,0.84,0.0,0.15,0.0,g4e3,-2.0,-0.82,-0.22,-0.32,0.6,0.0,0.03,0.0,g4e3,-2.0,-0.82,-0.22,-0.32,0.6,0.0,0.03,0.0
r2q1rk1/pbpp2pp/1p2p3/2nPbp2/1PPN4/P1N1P1P1/4P1BP/R2Q1RK1 b - - 0 13,-0.54,-0.05,0.12,-0.33,0.74,0.0,0.15,0.0,c5e4,-0.6,-0.05,0.07,-0.51,-0.57,0.0,0.1,0.0,d8g5,-0.55,-0.05,-0.02,-1.42,0.68,0.0,0.15,0.0
r2q1rk1/pbpp2pp/1p2p3/3Pbp2/1PPNN3/P3P1P1/4P1BP/R2Q1RK1 b - - 0 14,2.0,0.75,0.17,-0.21,-1.1,0.0,0.3,0.0,f5e4,-0.35,0.0,0.11,-0.5,0.16,0.0,0.1,0.0,f5e4,-0.35,0.0,0.11,-0.5,0.16,0.0,0.1,0.0
r2q1rk1/pbpp2pp/1p2p3/3Pb3/1PPNB3/P3P1P1/4P2P/R2Q1RK1 b - - 0 15,0.46,0.17,0.26,0.52,-0.17,0.0,0.26,0.0,d8g5,0.45,0.17,0.11,-2.0,-0.23,0.0,0.26,0.0,f8f1,,,,,,,,
r4rk1/pbpp2pp/1p2p3/3Pb1q1/1PPNB3/P2QP1P1/4P2P/R4RK1 b - - 2 16,0.47,0.17,0.06,-0.06,0.03,0.0,0.26,0.0,e5d4,-2.0,-0.6,-0.14,-1.58,0.9,0.0,0.18,0.0,e6d5,-0.09,-0.03,0.05,0.13,-0.69,0.0,0.03,0.0
r4rk1/pbpp2pp/1p2p3/3P2q1/1PPPB3/P2Q2P1/4P2P/R4RK1 b - - 0 17,0.57,0.13,0.15,0.36,0.36,0.0,0.0,0.0,e6d5,0.02,0.0,0.06,0.5,-0.23,0.0,0.0,0.0,e6d5,0.02,0.0,0.06,0.5,-0.23,0.0,0.0,0.0
r4rk1/pbpp2pB/1p6/3p2q1/1PPP4/P2Q2P1/4P2P/R4RK1 b - - 0 18,,,,,,,,,g8h8,0.6,0.11,0.07,0.79,0.47,0.0,0.0,0.0,g8h8,0.6,0.11,0.07,0.79,0.47,0.0,0.0,0.0
r4r1k/pbpp2pB/1p6/2Pp2q1/1P1P4/P2Q2P1/4P2P/R4RK1 b - - 0 19,0.51,0.11,0.08,0.8,0.54,0.0,0.0,0.0,b7a6,0.58,0.11,0.01,0.7,0.38,0.0,0.0,0.0,b7a6,0.58,0.11,0.01,0.7,0.38,0.0,0.0,0.0
r4r1k/p1pp2pB/Qp6/2Pp2q1/1P1P4/P5P1/4P2P/R4RK1 b - - 0 20,2.0,0.51,0.04,-1.67,0.17,0.0,0.0,0.0,g5e3,,,,,,,,,h8h7,0.54,0.1,-0.32,-1.84,0.37,0.0,0.0,0.0
r4r1k/p1pp2pB/Qp6/2Pp4/1P1P4/P3q1P1/4P1KP/R4R2 b - - 2 21,2.0,0.51,0.17,-0.39,-0.39,0.0,0.0,0.0,h8h7,0.41,0.1,-0.18,-2.0,0.09,0.0,0.0,0.0,h8h7,0.41,0.1,-0.18,-2.0,0.09,0.0,0.0,0.0
r4r2/p1pp2pk/1p6/2Pp4/1P1P4/P2Qq1P1/4P1KP/R4R2 b - - 1 22,,,,,,,,,e3d3,-2.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,e3d3,-2.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0
r4r2/p1pp2pk/1p6/2Pp4/1P1P4/P2P2P1/6KP/R4R2 b - - 0 23,0.47,0.12,0.04,0.02,0.1,0.0,0.0,0.0,h7g6,0.56,0.12,0.04,0.48,0.03,0.0,0.0,0.0,f8f1,-2.0,0.25,-0.33,-0.61,0.15,0.0,0.0,0.0
r4r2/p1pp2p1/1p4k1/2Pp4/1P1P4/P2P2P1/6KP/4RR2 b - - 2 24,0.69,0.12,0.13,0.67,-0.03,0.0,0.0,0.0,f8f1,-2.0,0.25,-0.14,0.08,0.12,0.0,0.0,0.0,f8f1,-2.0,0.25,-0.14,0.08,0.12,0.0,0.0,0.0
r7/p1pp2p1/1p4k1/2Pp4/1P1P4/P2P2P1/7P/4RK2 b - - 0 25,0.53,0.13,0.04,0.53,-0.03,0.0,0.0,0.0,g6f6,0.96,0.13,0.04,0.45,0.0,0.0,0.0,0.0,c7c6,0.53,0.13,0.04,0.53,-0.03,0.0,0.0,0.0
r7/p1pp2p1/1p3k2/2PpR3/1P1P4/P2P2P1/7P/5K2 b - - 2 26,1.0,0.13,0.04,0.92,0.35,0.0,0.0,0.0,c7c6,1.0,0.13,0.04,0.92,-0.03,0.0,0.0,0.0,c7c6,1.0,0.13,0.04,0.92,-0.03,0.0,0.0,0.0
r7/p2p2p1/1pp2k2/2PpR3/1P1P3P/P2P2P1/8/5K2 b - - 0 27,0.98,0.13,0.04,1.03,0.0,0.0,0.0,0.0,b6c5,0.34,0.0,0.04,1.03,-0.23,0.0,0.0,0.0,a7a5,1.01,0.13,-0.0,1.02,0.33,0.0,0.0,0.0
