r1nqkb1r/pp3ppp/2n1p3/3pPb2/3P4/2N1BN2/PP2BPPP/R2Q1RK1 b kq - 4 10,1.0,0.0,0.23,0.12,0.39,0.0,0.31,0.0,f8e7,0.95,0.0,0.2,0.12,0.1,0.0,0.31,0.0,f8e7,0.95,0.0,0.2,0.12,0.1,0.0,0.31,0.0
r1nqk2r/pp2bppp/2n1p3/3pPb2/3P4/2N1B3/PP2BPPP/R2QNRK1 b kq - 6 11,0.57,0.0,0.1,0.08,0.33,0.0,0.31,0.0,e8g8,-0.13,0.0,0.01,0.0,0.33,0.0,0.31,0.0,c8b6,0.29,0.0,-0.08,0.08,0.37,0.0,0.31,0.0
r1nq1rk1/pp2bppp/2n1p3/3pPb2/3P2P1/2N1B3/PP2BP1P/R2QNRK1 b - - 0 12,-0.15,0.0,0.04,-0.37,0.88,0.0,0.38,0.0,f5g6,-0.13,0.0,0.11,-0.41,0.1,0.0,0.38,0.0,f5g6,-0.13,0.0,0.11,-0.41,0.1,0.0,0.38,0.0
r1nq1rk1/pp2bppp/2n1p1b1/3pP3/3P1PP1/2N1B3/PP2B2P/R2QNRK1 b - - 0 13,-0.14,0.0,0.27,-0.68,0.17,0.0,0.54,0.0,f7f6,-0.15,0.0,0.27,-0.24,0.1,0.0,0.38,0.0,f7f6,-0.15,0.0,0.27,-0.24,0.1,0.0,0.38,0.0
r1nq1rk1/pp2b1pp/2n1ppb1/3pP3/3P1PP1/2NNB3/PP2B2P/R2Q1RK1 b - - 1 14,0.25,0.0,0.51,-0.24,-0.25,0.0,0.38,0.0,c8b6,-0.02,0.0,0.28,-0.24,-0.22,0.0,0.38,0.0,f6e5,-0.49,-0.26,0.09,-0.47,-0.48,0.03,-0.03,0.0
r2q1rk1/pp2b1pp/1nn1ppb1/3pP3/3P1PP1/1PNNB3/P3B2P/R2Q1RK1 b - - 0 15,-0.11,0.0,0.25,-0.24,-0.25,0.0,0.38,0.0,a8c8,-0.19,0.0,0.25,-0.24,-0.25,0.0,0.38,0.0,b6d7,-0.12,0.0,0.2,-0.24,-0.25,0.0,0.38,0.0
2rq1rk1/pp2b1pp/1nn1ppb1/3pP3/3P1PP1/1PNNB3/P2QB2P/R4RK1 b - - 2 16,-0.15,0.0,0.38,-0.24,-0.25,0.0,0.38,0.0,c6b4,-0.18,0.0,0.41,-0.2,-0.35,0.0,0.38,0.0,g6d3,-2.0,-0.66,0.14,-0.24,0.38,0.0,0.26,0.0
2rq1rk1/pp2b1pp/1n2ppb1/3pPP2/1n1P2P1/1PNNB3/P2QB2P/R4RK1 b - - 0 17,-0.27,0.0,0.53,0.23,1.18,0.0,0.68,0.0,g6f7,-0.26,0.0,0.69,0.29,0.05,0.0,0.68,0.0,b4d3,-2.0,-0.66,0.28,-0.01,1.58,0.0,0.43,0.0
2rq1rk1/pp2bbpp/1n2pp2/3pPP2/1n1P1NP1/1PN1B3/P2QB2P/R4RK1 b - - 2 18,-0.13,0.0,0.66,0.32,-0.08,0.0,0.68,0.0,d8d7,-0.17,0.0,0.54,0.29,0.24,0.0,0.68,0.0,f6e5,-0.88,-0.26,0.34,0.04,0.25,0.03,-0.03,0.0
2r2rk1/pp1qbbpp/1n2pp2/3pPP2/1n1P1NP1/1PNBB3/P2Q3P/R4RK1 b - - 4 19,-0.11,0.0,0.61,0.35,-0.07,0.0,0.68,0.0,f6e5,-0.85,-0.26,0.33,0.08,0.0,0.03,-0.03,0.0,f6e5,-0.85,-0.26,0.33,0.08,0.0,0.03,-0.03,0.0
2r2rk1/pp1qbbpp/1n2N3/3ppP2/1n1P2P1/1PNBB3/P2Q3P/R4RK1 b - - 0 20,-0.03,0.0,0.48,1.2,0.24,0.03,0.05,0.0,f7e6,-2.0,-0.57,0.17,0.2,0.9,0.03,-0.03,0.0,f7e6,-2.0,-0.57,0.17,0.2,0.9,0.03,-0.03,0.0
2r2rk1/pp1qb1pp/1n2P3/3pp3/1n1P2P1/1PNBB3/P2Q3P/R4RK1 b - - 0 21,-0.01,0.13,0.17,1.8,-0.34,0.69,0.04,0.0,d7c6,-0.01,0.13,0.32,1.94,-0.74,0.69,0.04,0.0,d7c6,-0.01,0.13,0.32,1.94,-0.74,0.69,0.04,0.0
2r2rk1/pp2b1pp/1nq1P3/1N1pp3/1n1P2P1/1P1BB3/P2Q3P/R4RK1 b - - 2 22,0.02,0.13,0.12,1.7,-0.28,0.69,0.09,0.0,b4d3,-2.0,-0.57,-0.26,-0.75,-0.77,0.61,0.05,0.0,b4d3,-2.0,-0.57,-0.26,-0.75,-0.77,0.61,0.05,0.0
2r2rk1/pp2b1pp/1nq1P3/1N1pp3/3P2P1/1P1QB3/P6P/R4RK1 b - - 0 23,-0.24,0.0,-0.12,0.68,-0.23,0.69,0.11,0.0,c6e6,-0.77,-0.14,-0.21,-1.24,-0.33,0.03,-0.1,0.0,e5e4,-0.1,0.0,-0.12,-0.16,-1.43,0.51,0.04,0.0
2r2rk1/Np2b1pp/1n2q3/3pp3/3P2P1/1P1QB3/P6P/R4RK1 b - - 0 24,-0.54,0.0,-0.33,-1.36,-0.2,0.03,-0.06,0.0,e6g4,,,,,,,,,e6g4,,,,,,,,
2r2rk1/Np2b1pp/1n6/3pp3/3P2q1/1P1QB3/P6P/R4R1K b - - 1 25,-1.47,-0.12,-0.25,-0.81,0.55,0.03,-0.15,0.0,e5e4,-1.33,-0.12,-0.31,-1.66,-0.29,-0.15,-0.2,0.0,f8f1,,,,,,,,
