r2q1rk1/pp2ppbp/2np1np1/8/3P2b1/P1N1PNP1/1P3PBP/R1BQ1RK1 b - - 0 10,-0.13,0.0,-0.18,-0.08,0.3,0.0,0.17,0.0,e7e5,-0.25,0.0,-0.35,-0.12,0.03,0.0,0.0,0.0,d8d7,-0.17,0.0,-0.15,-0.12,0.3,0.0,0.17,0.0
r2q1rk1/pp3pbp/2np1np1/4p3/3P2b1/P1N1PNP1/1P1Q1PBP/R1B2RK1 b - - 1 11,-0.21,0.0,-0.6,-0.12,-0.08,0.0,0.0,0.0,d8e7,-0.25,0.0,-0.51,-0.12,0.0,0.0,0.0,0.0,e5e4,-0.07,0.0,-0.57,-0.12,-0.94,0.0,-0.12,0.0
r4rk1/pp2qpbp/2np1np1/4p3/3P2b1/P1N1PNPP/1P1Q1PB1/R1B2RK1 b - - 0 12,-0.33,0.0,-0.49,-0.04,0.61,0.0,0.0,0.0,g4f3,-2.0,-0.66,-0.5,-0.3,0.52,0.0,-0.12,0.0,g4f5,-0.31,0.0,-0.5,-0.04,0.24,0.0,-0.04,0.0
r4rk1/pp2qpbp/2np1np1/4p3/3P4/P1N1PBPP/1P1Q1P2/R1B2RK1 b - - 0 13,-0.07,0.09,-0.07,0.07,0.41,0.0,0.0,0.0,a8d8,-0.2,0.09,-0.12,0.07,0.41,0.0,0.0,0.0,e5e4,0.07,0.09,-0.06,0.03,-0.73,0.0,-0.1,0.0
3r1rk1/pp2qpbp/2np1np1/3Pp3/8/P1N1PBPP/1P1Q1P2/R1B2RK1 b - - 0 14,-0.29,0.09,-0.23,0.07,0.7,0.0,0.1,0.0,c6a5,-0.09,0.09,-0.15,0.07,-0.09,0.0,0.1,0.0,e5e4,-0.15,0.09,-0.18,0.03,-0.17,0.0,-0.07,0.0
3r1rk1/pp2qpbp/3p1np1/n2Pp3/4P3/P1N2BPP/1P1Q1P2/R1B2RK1 b - - 0 15,-0.05,0.09,0.42,0.26,0.14,0.0,0.34,0.0,a5b3,-0.33,0.09,0.26,0.26,-1.41,0.0,0.27,0.0,a5b3,-0.33,0.09,0.26,0.26,-1.41,0.0,0.27,0.0
3r1rk1/pp2qpbp/3p1np1/3Pp3/4P3/PnN2BPP/1P3P2/R1BQ1RK1 b - - 2 16,-0.37,0.09,0.14,0.19,-0.7,0.0,0.27,0.0,b3a1,-2.0,0.25,0.34,0.19,0.03,0.0,0.24,0.0,b3a1,-2.0,0.25,0.34,0.19,0.03,0.0,0.24,0.0
3r1rk1/pp2qpbp/3p1np1/3Pp3/1P2P3/P1N2BPP/5P2/n1BQ1RK1 b - - 0 17,-2.0,0.25,0.41,0.19,0.03,0.0,0.3,0.0,a7a5,-2.0,0.25,0.41,0.19,0.37,0.0,0.3,0.0,d8c8,-2.0,0.25,0.33,0.19,-0.48,0.0,0.3,0.0
3r1rk1/1p2qpbp/3p1np1/p2Pp3/1P2P3/P1N2BPP/1B3P2/n2Q1RK1 b - - 1 18,-2.0,0.25,0.32,0.07,1.14,0.0,0.3,0.0,a5b4,-2.0,0.05,0.25,0.07,1.07,-0.42,0.09,0.0,a5b4,-2.0,0.05,0.25,0.07,1.07,-0.42,0.09,0.0
3r1rk1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/1B3P2/n2Q1RK1 b - - 0 19,-2.0,0.3,0.37,0.07,0.81,0.0,0.25,0.0,d8a8,-2.0,0.3,0.25,0.07,0.91,0.0,0.25,0.0,h7h5,-2.0,0.3,0.28,0.14,0.77,0.0,0.25,0.0
r4rk1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/5P2/B2Q1RK1 b - - 0 20,-2.0,0.87,0.07,0.07,0.13,0.0,0.3,0.0,f8c8,-2.0,0.87,-0.06,0.07,-0.04,0.0,0.3,0.0,e7c7,-2.0,0.87,-0.01,0.11,0.18,0.0,0.3,0.0
r1r3k1/1p2qpbp/3p1np1/3Pp3/1P2P3/2N2BPP/1B3P2/3Q1RK1 b - - 2 21,-2.0,0.87,0.06,0.07,-0.04,0.0,0.3,0.0,f6d7,-2.0,0.87,0.06,0.11,-0.11,0.0,0.3,0.0,e7c7,-2.0,0.87,0.01,0.11,-0.37,0.0,0.3,0.0
r1r3k1/1p1nqpbp/3p2p1/3Pp3/1P2P3/2N3PP/1B3PB1/3Q1RK1 b - - 4 22,-2.0,0.87,0.01,0.11,-0.11,0.0,0.3,0.0,d7b6,-2.0,0.87,-0.1,0.11,-0.11,0.0,0.3,0.0,d7b6,-2.0,0.87,-0.1,0.11,-0.11,0.0,0.3,0.0
r1r3k1/1p2qpbp/1n1p2p1/3Pp3/1P2P3/6PP/1B2NPB1/3Q1RK1 b - - 6 23,-2.0,0.87,-0.23,0.07,0.13,0.0,0.3,0.0,b6c4,-2.0,0.87,-0.14,0.03,-0.75,0.0,0.2,0.0,e7c7,-2.0,0.87,-0.36,0.15,0.0,0.0,0.3,0.0
