r1bqk2r/1p2bpp1/p1nppn1p/8/4P1PP/1NN1B3/PPP2P2/R2QKB1R w KQkq - 1 10,0.08,0.0,0.65,-0.12,-0.22,0.0,0.09,0.0,f1g2,0.15,0.0,0.65,-0.12,-0.16,0.0,0.09,0.0,d1e2,0.12,0.0,0.48,-0.12,-0.18,0.0,0.09,0.0
r1bqk2r/1p1nbpp1/p1npp2p/8/4P1PP/1NN1B3/PPP2PB1/R2QK2R w KQkq - 3 11,0.25,0.0,0.54,-0.09,-0.19,0.0,0.09,0.0,d1d2,0.29,0.0,0.43,-0.09,-0.19,0.0,0.09,0.0,d1e2,0.29,0.0,0.43,-0.09,-0.19,0.0,0.09,0.0
r1bqk2r/1p2bpp1/p1npp2p/4n3/4P1PP/1NN1B3/PPPQ1PB1/R3K2R w KQkq - 5 12,-0.01,0.0,0.32,-0.18,-0.4,0.0,0.09,0.0,d2e2,-0.01,0.0,0.33,-0.18,0.08,0.0,0.09,0.0,d2e2,-0.01,0.0,0.33,-0.18,0.08,0.0,0.09,0.0
r1bqk2r/1p3pp1/p1npp2p/4n3/4P1Pb/1NN1B3/PPP1QPB1/R3K2R w KQkq - 0 13,-0.5,-0.26,0.13,-0.56,0.41,0.0,0.01,0.0,e1c1,-0.03,-0.26,0.42,0.07,0.49,0.0,0.01,0.0,e1c1,-0.03,-0.26,0.42,0.07,0.49,0.0,0.01,0.0
r1bqk2r/1p3pp1/p1nppb1p/4n3/4P1P1/1NN1B3/PPP1QPB1/2KR3R w kq - 2 14,-0.06,-0.26,0.54,0.08,0.15,0.0,0.01,0.0,f2f4,-0.07,-0.26,0.8,0.21,0.79,0.0,0.09,0.0,f2f4,-0.07,-0.26,0.8,0.21,0.79,0.0,0.09,0.0
r1bqk2r/1p3pp1/p1nppbnp/8/4PPP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 15,0.25,-0.26,0.87,0.22,-0.5,0.0,0.12,0.0,e4e5,0.11,-0.26,1.0,0.64,1.23,0.0,0.29,0.0,e4e5,0.11,-0.26,1.0,0.64,1.23,0.0,0.29,0.0
r1bqk2r/1p2bpp1/p1npp1np/4P3/5PP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 16,0.06,-0.26,1.0,0.45,0.4,0.0,0.29,0.0,e5d6,0.79,0.0,1.01,0.32,0.8,0.95,0.25,0.0,e5d6,0.79,0.0,1.01,0.32,0.8,0.95,0.25,0.0
r1bqk2r/1p3pp1/p1nPpbnp/8/5PP1/1NN1B3/PPP1Q1B1/2KR3R w kq - 1 17,0.84,0.0,1.14,0.46,-0.31,0.95,0.25,0.0,c3e4,1.04,0.0,1.16,1.13,0.0,0.95,0.25,0.0,c3e4,1.04,0.0,1.16,1.13,0.0,0.95,0.25,0.0
r2qk2r/1p1b1pp1/p1nPpbnp/8/4NPP1/1N2B3/PPP1Q1B1/2KR3R w kq - 3 18,0.99,0.0,0.85,0.99,-0.03,0.66,0.25,0.0,b3c5,1.28,0.0,0.85,2.0,0.54,0.66,0.25,0.0,g4g5,0.9,0.0,0.99,2.0,0.9,0.59,0.25,0.0
r3k2r/1p1b1pp1/p1nPpbnp/q1N5/4NPP1/4B3/PPP1Q1B1/2KR3R w kq - 5 19,1.28,0.0,0.71,2.0,0.74,0.66,0.25,0.0,e4f6,,,,,,,,,c5d7,2.0,0.71,0.73,2.0,0.0,0.66,0.0,0.0
