r3kb1r/pp1bnppp/1q2p3/3pP3/3n4/3B1N2/PP1N1PPP/R1BQ1RK1 w kq - 2 10,-0.26,-0.26,-0.03,0.13,0.12,0.08,-0.02,0.0,f3d4,2.0,0.38,0.09,0.39,-0.41,0.08,0.1,0.0,f3d4,2.0,0.38,0.09,0.39,-0.41,0.08,0.1,0.0
r3kb1r/pp1bnppp/4p3/3pP3/3q4/3B4/PP1N1PPP/R1BQ1RK1 w kq - 0 11,-0.04,-0.2,0.01,-0.12,-0.88,0.08,-0.02,0.0,d2f3,0.06,-0.2,0.32,-0.06,0.53,0.08,-0.02,0.0,d2f3,0.06,-0.2,0.32,-0.06,0.53,0.08,-0.02,0.0
r3kb1r/pp1bnppp/1q2p3/3pP3/8/3B1N2/PP3PPP/R1BQ1RK1 w kq - 2 12,0.05,-0.2,0.29,0.12,0.21,0.03,-0.02,0.0,c1e3,0.17,-0.2,0.44,0.25,-0.04,0.03,-0.02,0.0,c1e3,0.17,-0.2,0.44,0.25,-0.04,0.03,-0.02,0.0
r3kb1r/ppqbnppp/4p3/3pP3/8/3BBN2/PP3PPP/R2Q1RK1 w kq - 4 13,0.16,-0.2,0.42,0.25,0.24,0.08,0.02,0.0,a1c1,0.25,-0.2,0.58,0.59,1.68,0.08,0.02,0.0,a1c1,0.25,-0.2,0.58,0.59,1.68,0.08,0.02,0.0
r3kb1r/ppqb1ppp/2n1p3/3pP3/8/3BBN2/PP3PPP/2RQ1RK1 w kq - 6 14,0.14,-0.2,0.52,0.35,-0.43,0.03,0.02,0.0,a2a3,0.09,-0.2,0.62,0.35,-0.43,0.03,0.02,0.0,a2a3,0.09,-0.2,0.62,0.35,-0.43,0.03,0.02,0.0
r3k2r/ppqbbppp/2n1p3/3pP3/8/P2BBN2/1P3PPP/2RQ1RK1 w kq - 1 15,0.03,-0.2,0.44,0.27,-0.4,0.03,0.02,0.0,b2b4,-0.1,-0.2,0.57,0.27,-0.2,0.03,0.07,0.0,b2b4,-0.1,-0.2,0.57,0.27,-0.2,0.03,0.07,0.0
r3k2r/1pqbbppp/p1n1p3/3pP3/1P6/P2BBN2/5PPP/2RQ1RK1 w kq - 0 16,-0.04,-0.2,0.53,0.27,-0.43,0.03,0.07,0.0,h2h4,-0.05,-0.2,0.62,0.16,-0.46,0.03,0.07,0.0,h2h4,-0.05,-0.2,0.62,0.16,-0.46,0.03,0.07,0.0
r3k2r/1pqbbpp1/p1n1p2p/3pP3/1P5P/P2BBN2/5PP1/2RQ1RK1 w kq - 0 17,0.03,-0.2,0.56,0.09,-0.51,0.03,0.07,0.0,d1e2,0.07,-0.2,0.57,0.09,-0.51,0.03,0.07,0.0,h4h5,0.09,-0.2,0.51,-0.06,-0.49,0.03,0.11,0.0
r3k2r/1pqbbp2/p1n1p2p/3pP1p1/1P5P/P2BBN2/4QPP1/2R2RK1 w kq - 0 18,0.08,-0.2,0.56,0.16,-0.72,0.03,0.03,0.0,h4g5,0.68,0.0,0.57,0.4,-0.45,0.03,0.15,0.0,f1e1,0.12,-0.2,0.62,0.16,-0.72,0.03,0.03,0.0
r3k2r/1pqbbp2/p1n1p3/3pP1p1/1P6/P2BBN2/4QPP1/2R2RK1 w kq - 0 19,0.01,-0.18,0.39,-0.14,-0.6,0.03,0.01,0.0,g2g4,0.0,-0.18,0.47,-0.65,-0.33,0.03,0.1,0.0,g2g4,0.0,-0.18,0.47,-0.65,-0.33,0.03,0.1,0.0
