r2q1rk1/pp2ppbp/2npbnp1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - - 2 10,0.03,0.0,0.23,0.19,-0.36,0.0,0.13,0.0,f2f4,0.02,0.0,0.29,-0.51,-0.36,0.0,0.26,0.0,g1h1,-0.24,0.0,0.3,0.31,-0.36,0.0,0.13,0.0
2rq1rk1/pp2ppbp/2npbnp1/6B1/4PP2/1NN5/PPP1B1PP/R2Q1RK1 w - - 1 11,-0.06,0.0,0.28,-0.51,-0.36,0.0,0.26,0.0,e2f3,-0.11,0.0,0.14,-0.56,-0.26,0.0,0.26,0.0,g1h1,-0.33,0.0,0.36,0.11,-0.36,0.0,0.26,0.0
2rq1rk1/pp2ppbp/3pbnp1/n5B1/4PP2/1NN2B2/PPP3PP/R2Q1RK1 w - - 3 12,0.09,0.0,0.13,-0.51,0.1,0.0,0.26,0.0,e4e5,-0.05,0.0,0.18,-0.5,0.96,0.0,0.26,0.0,e4e5,-0.05,0.0,0.18,-0.5,0.96,0.0,0.26,0.0
2r2rk1/pp2ppbp/1q1pbnp1/n3P1B1/5P2/1NN2B2/PPP3PP/R2Q1RK1 w - - 1 13,,,,,,,,,g1h1,-0.33,0.0,0.07,0.02,1.12,0.0,0.17,0.0,g1h1,-0.33,0.0,0.07,0.02,1.12,0.0,0.17,0.0
2r2rk1/pp2ppbp/1q2bnp1/n3p1B1/5P2/1NN2B2/PPP3PP/R2Q1R1K w - - 0 14,-1.11,-0.26,-0.05,-0.1,-0.13,0.03,-0.07,0.0,f4e5,-0.34,0.0,0.23,-0.1,0.76,0.0,0.14,0.0,f4e5,-0.34,0.0,0.23,-0.1,0.76,0.0,0.14,0.0
2r2rk1/pp1nppbp/1q2b1p1/n3P1B1/8/1NN2B2/PPP3PP/R2Q1R1K w - - 1 15,-0.24,0.0,0.3,0.01,0.06,0.0,0.18,0.0,c3d5,-0.02,0.0,0.29,1.43,0.26,0.0,0.18,0.0,b3a5,2.0,0.57,0.12,0.01,-0.51,0.0,0.23,0.0
2r2rk1/pp1nppbp/1q4p1/n2bP1B1/8/1N3B2/PPP3PP/R2Q1R1K w - - 0 16,-2.0,-0.57,0.19,0.05,0.19,0.0,0.07,0.0,f3d5,0.2,0.13,0.49,1.3,-0.54,0.0,0.15,0.0,d1d5,0.03,0.13,0.54,0.36,-0.04,0.0,0.15,0.0
2r2rk1/pp1n1pbp/1q2p1p1/n2BP1B1/8/1N6/PPP3PP/R2Q1R1K w - - 0 17,0.12,0.13,0.54,0.32,-1.63,0.0,0.22,0.0,b3a5,2.0,0.69,0.36,0.29,-2.0,0.0,0.27,0.0,d5b7,0.53,0.35,0.5,0.27,-0.58,-0.06,0.27,0.0
2r2rk1/pp1n1pbp/1q4p1/N2pP1B1/8/8/PPP3PP/R2Q1R1K w - - 0 18,-0.43,0.0,0.07,0.21,-0.65,0.0,0.02,0.0,d1d5,0.28,0.14,0.2,0.6,-0.52,0.0,0.14,0.0,d1d5,0.28,0.14,0.2,0.6,-0.52,0.0,0.14,0.0
2r2rk1/pp3pbp/1q4p1/N2Qn1B1/8/8/PPP3PP/R4R1K w - - 0 19,-0.69,0.0,0.13,0.36,-0.73,0.0,0.0,0.0,a5b7,-0.03,0.12,0.17,0.37,-0.86,-0.06,0.05,0.0,a5b7,-0.03,0.12,0.17,0.37,-0.86,-0.06,0.05,0.0
5rk1/pN3pbp/1q4p1/3Qn1B1/8/8/PPr3PP/R4R1K w - - 0 20,-0.83,0.0,0.1,0.05,-0.5,0.0,0.01,0.0,g5e7,-0.97,0.0,0.1,0.08,0.38,0.0,0.01,0.0,b7d6,-0.45,0.0,0.21,1.1,-0.68,0.0,0.01,0.0
