rn1q1rk1/pbp1ppbp/1p1p2p1/8/2PPP3/2N2NP1/PP1Q1PBP/R4RK1 b - - 0 10,0.5,-0.05,0.24,0.23,0.04,0.0,0.53,0.0,b8d7,0.12,-0.05,0.13,0.23,0.04,0.0,0.53,0.0,a7a6,0.55,-0.05,0.21,0.23,0.04,0.0,0.53,0.0
r2q1rk1/pbpnppbp/1p1p2p1/8/2PPP3/2N2NP1/PP1Q1PBP/3R1RK1 b - - 2 11,0.25,-0.05,0.23,0.23,0.04,0.0,0.53,0.0,e7e6,0.17,-0.05,0.04,0.12,0.08,0.0,0.47,0.0,a7a6,0.31,-0.05,0.23,0.23,0.04,0.0,0.53,0.0
r2q1rk1/pbpn1pbp/1p1pp1p1/8/2PPP3/2N2NP1/PP1Q1PBP/3RR1K1 b - - 1 12,0.22,-0.05,0.18,0.15,0.13,0.0,0.47,0.0,a7a6,0.27,-0.05,0.17,0.15,0.13,0.0,0.47,0.0,d8e7,0.18,-0.05,0.26,0.15,0.13,0.0,0.47,0.0
r2q1rk1/1bpn1pbp/pp1pp1p1/8/2PPP2P/2N2NP1/PP1Q1PB1/3RR1K1 b - - 0 13,0.26,-0.05,0.27,0.04,0.13,0.0,0.47,0.0,d8e7,0.22,-0.05,0.26,0.04,0.13,0.0,0.47,0.0,d8e7,0.22,-0.05,0.26,0.04,0.13,0.0,0.47,0.0
r4rk1/1bpnqpbp/pp1pp1p1/8/2PPP2P/2N1QNP1/PP3PB1/3RR1K1 b - - 2 14,0.2,-0.05,0.31,0.04,0.13,0.0,0.47,0.0,d7f6,0.1,-0.05,0.3,0.04,-0.17,0.0,0.47,0.0,c7c5,0.22,-0.05,0.22,0.04,-0.31,0.0,0.34,0.0
r4rk1/1bp1qpbp/pp1ppnp1/4P3/2PP3P/2N1QNP1/PP3PB1/3RR1K1 b - - 0 15,-0.04,-0.05,0.32,0.0,0.52,0.0,0.61,0.0,f6g4,-0.08,-0.05,0.39,-0.13,-0.73,0.0,0.54,0.0,f6g4,-0.08,-0.05,0.39,-0.13,-0.73,0.0,0.54,0.0
r4rk1/1bp1qpbp/pp1pp1p1/4P3/2PP1QnP/2N2NP1/PP3PB1/3RR1K1 b - - 2 16,-0.07,-0.05,0.42,-0.09,-0.11,0.0,0.54,0.0,h7h5,-0.05,-0.05,0.37,-0.01,-0.48,0.0,0.69,0.0,h7h5,-0.05,-0.05,0.37,-0.01,-0.48,0.0,0.69,0.0
r4rk1/1bp1qpb1/pp1pp1p1/4P2p/2PP1QnP/2N3P1/PP3PBN/3RR1K1 b - - 1 17,-0.45,-0.05,0.35,-0.32,0.41,0.0,0.69,0.0,d6e5,-1.23,-0.31,0.15,-0.47,-0.41,0.0,0.2,0.0,g7h6,-0.38,-0.05,0.3,-0.49,0.45,0.0,0.61,0.0
r4rk1/1bp1qpb1/pp2p1p1/4P2p/2P2QnP/2N3P1/PP3PBN/3RR1K1 b - - 0 18,-0.48,-0.09,0.27,-0.34,0.03,0.0,0.4,0.0,b7g2,-2.0,-0.55,-0.06,-1.02,0.18,0.0,0.29,0.0,g7h6,-0.4,-0.09,0.27,-0.44,0.49,0.0,0.4,0.0
r4rk1/2p1qpb1/pp2p1p1/4P2p/2P2QnP/2N3P1/PP3PKN/3RR3 b - - 0 19,-0.59,0.22,0.34,0.09,-0.37,0.0,0.41,0.0,g4h2,-2.0,-0.44,0.42,0.19,0.55,0.0,0.35,0.0,g4h2,-2.0,-0.44,0.42,0.19,0.55,0.0,0.35,0.0
