rn1q1rk1/pp3p1p/2pbbpp1/7Q/3P4/3B4/PPP1NPPP/R1B1K2R w KQ - 0 10,-0.48,0.0,-0.04,0.62,-1.09,0.0,0.11,0.0,h5h6,-0.5,0.0,-0.09,-0.53,-0.28,0.0,0.11,0.0,h5h4,-0.46,0.0,-0.04,-0.73,-0.12,0.0,0.11,0.0
rn1qr1k1/pp3p1p/2pbbppQ/8/3P4/3B4/PPP1NPPP/R1B1K2R w KQ - 2 11,-0.54,0.0,-0.08,-0.51,-0.28,0.0,0.11,0.0,h2h4,-0.55,0.0,-0.1,-0.64,-0.31,0.0,0.11,0.0,e1g1,0.16,0.0,-0.12,1.12,-0.28,0.0,0.11,0.0
rn1qr1k1/pp3p1p/2pb1ppQ/5b2/3P3P/3B4/PPP1NPP1/R1B1K2R w KQ - 1 12,-0.59,0.0,-0.63,-2.0,-0.25,0.0,0.07,0.0,d3f5,2.0,0.75,-0.19,-2.0,-1.66,0.0,0.16,0.0,h6d2,-0.51,0.0,-0.57,-0.33,0.13,0.0,0.07,0.0
rn2r1k1/pp3p1p/2pb1ppQ/q4B2/3P3P/8/PPP1NPP1/R1B1K2R w KQ - 1 13,,,,,,,,,c2c3,2.0,0.75,-0.15,0.79,-1.4,0.0,0.19,0.0,h6d2,2.0,0.75,-0.53,-2.0,-1.03,0.0,0.12,0.0
rn2r1k1/pp3p1p/2pb1ppQ/5q2/3P3P/2P5/PP2NPP1/R1B1K2R w KQ - 0 14,-0.57,0.0,-0.52,-0.82,-0.65,0.0,0.06,0.0,h4h5,-0.51,0.0,-0.54,-0.33,-0.72,0.0,0.06,0.0,h6d2,-0.5,0.0,-0.52,-1.13,-0.05,0.0,0.06,0.0
rn2r1k1/pp3p1p/2pb1p1Q/5qpP/3P4/2P5/PP2NPP1/R1B1K2R w KQ - 0 15,-0.5,0.0,-0.74,-1.01,-0.37,0.0,0.03,0.0,g2g4,-0.52,0.0,-0.74,-2.0,-0.43,0.0,0.09,0.0,c1g5,0.3,0.17,-0.51,-0.23,-1.5,0.0,0.11,0.0
r1bq1rk1/pp1n1pbp/2p3p1/3p1p2/2PP4/4PNP1/PP1N1PBP/R2Q1RK1 b - - 0 10,-0.1,-0.05,0.19,-0.1,0.07,0.0,0.15,0.0,d7f6,-0.2,-0.05,-0.09,-0.06,-0.07,0.0,0.15,0.0,d5c4,-0.57,-0.31,0.22,-0.06,0.46,0.0,-0.07,0.0
r1bq1rk1/pp3pbp/2p2np1/3P1p2/3P4/4PNP1/PP1N1PBP/R2Q1RK1 b - - 0 11,0.48,0.17,-0.03,-0.02,-0.39,0.32,0.21,0.0,f6d5,-0.34,-0.09,-0.07,-0.13,0.17,0.0,0.09,0.0,c6d5,-0.17,-0.09,-0.09,-0.06,-0.07,0.0,0.0,0.0
r1bq1rk1/pp3pbp/2p3p1/3n1p2/3P4/P3PNP1/1P1N1PBP/R2Q1RK1 b - - 0 12,-0.39,-0.09,0.01,-0.13,0.2,0.0,0.09,0.0,f8e8,-0.44,-0.09,-0.03,-0.25,0.17,0.0,0.09,0.0,c8e6,-0.51,-0.09,-0.06,-0.13,0.2,0.0,0.09,0.0
r1bqr1k1/pp3pbp/2p3p1/3n1p2/3P4/P3PNP1/1P1N1PBP/2RQ1RK1 b - - 2 13,-0.36,-0.09,0.04,-0.25,0.13,0.0,0.09,0.0,c8e6,-0.48,-0.09,-0.08,-0.13,0.17,0.0,0.09,0.0,c8e6,-0.48,-0.09,-0.08,-0.13,0.17,0.0,0.09,0.0
r2qr1k1/pp3pbp/2p1b1p1/3n1p2/2NP4/P3PNP1/1P3PBP/2RQ1RK1 b - - 4 14,-0.21,-0.09,-0.11,-0.17,-0.03,0.0,0.09,0.0,a7a5,-0.18,-0.09,-0.2,-0.17,-0.1,0.0,0.09,0.0,e8e7,-0.26,-0.09,-0.02,-0.1,-0.06,0.0,0.09,0.0
