r1bq1rk1/1pp1bpp1/p1n2n1p/3p4/3P1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - - 0 10,0.34,0.0,0.01,-0.3,-0.17,0.0,0.06,0.0,a1c1,0.42,0.0,-0.01,-0.3,-0.17,0.0,0.06,0.0,f3e5,0.55,0.0,0.06,-0.22,-0.47,0.0,0.06,0.0
r1bq1rk1/1pp1bpp1/p1n4p/3p4/3PnB2/2N2NP1/PP2PPBP/2RQ1RK1 w - - 2 11,0.2,0.0,-0.04,-0.36,0.05,0.0,0.0,0.0,f3e5,0.42,0.0,-0.06,-0.3,-0.26,0.0,0.0,0.0,f3d2,0.1,0.0,-0.12,-0.41,-0.37,0.0,0.0,0.0
r1bq1rk1/1pp1bpp1/p1n4p/3pN3/3P1B2/2n3P1/PP2PPBP/2RQ1RK1 w - - 0 12,-2.0,-0.66,-0.06,-0.28,-0.14,0.0,-0.01,0.0,c1c3,0.7,0.0,0.27,-0.16,-0.53,0.0,0.05,0.0,e5c6,0.42,0.0,0.19,-0.34,-0.0,0.0,0.05,0.0
r1bq1rk1/1pp1bpp1/p6p/3pn3/3P1B2/2R3P1/PP2PPBP/3Q1RK1 w - - 0 13,-2.0,-0.7,0.26,-0.45,1.37,0.0,-0.11,0.0,f4e5,0.51,0.0,0.27,-0.26,0.25,0.0,0.04,0.0,f4e5,0.51,0.0,0.27,-0.26,0.25,0.0,0.04,0.0
r1bq1rk1/1p2bpp1/p1p4p/3pB3/3P4/2R3P1/PP2PPBP/3Q1RK1 w - - 0 14,0.5,0.0,0.17,-0.27,-0.31,0.0,0.04,0.0,d1b3,0.51,0.0,0.05,-0.28,-0.31,0.0,0.04,0.0,c3b3,0.46,0.0,0.12,-0.27,-0.26,0.0,0.04,0.0
r1bq1rk1/1p2bp2/p1p4p/3pB1p1/3P4/1QR3P1/PP2PPBP/5RK1 w - - 0 15,0.53,0.0,0.05,0.42,-0.33,0.0,0.0,0.0,e2e4,0.64,0.0,0.12,0.49,-0.26,0.0,0.17,0.0,e2e4,0.64,0.0,0.12,0.49,-0.26,0.0,0.17,0.0
r1bq1rk1/1p2b3/p1p2p1p/3pB1p1/3PP3/1QR3P1/PP3PBP/5RK1 w - - 0 16,0.63,0.0,0.16,0.38,-0.9,0.0,0.13,0.0,e4d5,1.14,0.14,0.33,0.51,-0.7,0.32,0.13,0.0,e4d5,1.14,0.14,0.33,0.51,-0.7,0.32,0.13,0.0
r1bq1rk1/1p2b3/p1p4p/3Pp1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 0 17,-2.0,-0.57,-0.11,0.27,0.03,0.15,0.02,0.0,d5c6,,,,,,,,,d5c6,,,,,,,,
r1bq1r2/1p2b1k1/p1P4p/4p1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 1 18,-2.0,-0.43,-0.13,0.32,0.1,0.98,0.12,0.0,c6b7,-1.63,-0.32,-0.11,0.32,2.0,1.66,0.11,0.0,c6b7,-1.63,-0.32,-0.11,0.32,2.0,1.66,0.11,0.0
r2q1r2/1b2b1k1/p6p/4p1p1/3P4/1QR3P1/PP3PBP/5RK1 w - - 0 19,-2.0,-0.43,-0.34,0.05,0.04,-0.03,0.05,0.0,b3b7,1.65,0.15,0.5,0.51,0.96,-0.03,0.0,0.0,b3b7,1.65,0.15,0.5,0.51,0.96,-0.03,0.0,0.0
