rn1q1rk1/pbp1ppbp/1p1p2p1/8/2PP4/2N2NP1/PP1QPPBP/R4RK1 w - - 0 10,0.38,-0.05,0.2,0.15,-0.16,0.0,0.3,0.0,e2e4,0.5,-0.05,0.24,0.23,0.04,0.0,0.53,0.0,d4d5,0.29,-0.05,0.32,0.23,-0.2,0.0,0.4,0.0
r2q1rk1/pbpnppbp/1p1p2p1/8/2PPP3/2N2NP1/PP1Q1PBP/R4RK1 w - - 1 11,0.12,-0.05,0.13,0.23,0.04,0.0,0.53,0.0,a1d1,0.25,-0.05,0.23,0.23,0.04,0.0,0.53,0.0,a1d1,0.25,-0.05,0.23,0.23,0.04,0.0,0.53,0.0
r2q1rk1/pbpn1pbp/1p1pp1p1/8/2PPP3/2N2NP1/PP1Q1PBP/3R1RK1 w - - 0 12,0.17,-0.05,0.04,0.12,0.08,0.0,0.47,0.0,f1e1,0.22,-0.05,0.18,0.15,0.13,0.0,0.47,0.0,f1e1,0.22,-0.05,0.18,0.15,0.13,0.0,0.47,0.0
r2q1rk1/1bpn1pbp/pp1pp1p1/8/2PPP3/2N2NP1/PP1Q1PBP/3RR1K1 w - - 0 13,0.27,-0.05,0.17,0.15,0.13,0.0,0.47,0.0,h2h4,0.26,-0.05,0.27,0.04,0.13,0.0,0.47,0.0,h2h4,0.26,-0.05,0.27,0.04,0.13,0.0,0.47,0.0
r4rk1/1bpnqpbp/pp1pp1p1/8/2PPP2P/2N2NP1/PP1Q1PB1/3RR1K1 w - - 1 14,0.22,-0.05,0.26,0.04,0.13,0.0,0.47,0.0,d2e3,0.2,-0.05,0.31,0.04,0.13,0.0,0.47,0.0,d4d5,0.13,-0.05,0.31,0.08,-0.13,0.0,0.47,0.0
r4rk1/1bp1qpbp/pp1ppnp1/8/2PPP2P/2N1QNP1/PP3PB1/3RR1K1 w - - 3 15,0.1,-0.05,0.3,0.04,-0.17,0.0,0.47,0.0,e4e5,-0.04,-0.05,0.32,0.0,0.52,0.0,0.61,0.0,e4e5,-0.04,-0.05,0.32,0.0,0.52,0.0,0.61,0.0
r4rk1/1bp1qpbp/pp1pp1p1/4P3/2PP2nP/2N1QNP1/PP3PB1/3RR1K1 w - - 1 16,-0.08,-0.05,0.39,-0.13,-0.73,0.0,0.54,0.0,e3f4,-0.07,-0.05,0.42,-0.09,-0.11,0.0,0.54,0.0,e3g5,-0.04,-0.05,0.31,0.04,-0.11,0.0,0.61,0.0
r4rk1/1bp1qpb1/pp1pp1p1/4P2p/2PP1QnP/2N2NP1/PP3PB1/3RR1K1 w - - 0 17,-0.05,-0.05,0.37,-0.01,-0.48,0.0,0.69,0.0,f3h2,-0.45,-0.05,0.35,-0.32,0.41,0.0,0.69,0.0,e5d6,0.68,0.17,0.26,0.01,0.65,0.95,0.51,0.0
r4rk1/1bp1qpb1/pp2p1p1/4p2p/2PP1QnP/2N3P1/PP3PBN/3RR1K1 w - - 0 18,-1.23,-0.31,0.15,-0.47,-0.41,0.0,0.2,0.0,d4e5,-0.48,-0.09,0.27,-0.34,0.03,0.0,0.4,0.0,d4e5,-0.48,-0.09,0.27,-0.34,0.03,0.0,0.4,0.0
r4rk1/2p1qpb1/pp2p1p1/4P2p/2P2QnP/2N3P1/PP3PbN/3RR1K1 w - - 0 19,-2.0,-0.55,-0.06,-1.02,0.18,0.0,0.29,0.0,g1g2,-0.59,0.22,0.34,0.09,-0.37,0.0,0.41,0.0,h2g4,-0.15,0.16,0.03,0.16,-0.55,0.0,0.41,0.0
r4rk1/2p1qpb1/pp2p1p1/4P2p/2P2Q1P/2N3P1/PP3PKn/3RR3 w - - 0 20,-2.0,-0.44,0.42,0.19,0.55,0.0,0.35,0.0,g2h2,-0.28,0.26,0.41,0.35,0.03,0.0,0.0,0.0,g2h2,-0.28,0.26,0.41,0.35,0.03,0.0,0.0,0.0
r4rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP3P1K/3RR3 w - - 1 21,-0.29,0.26,0.34,0.42,-0.13,0.0,0.0,0.0,e1e2,-0.24,0.26,0.2,0.42,0.2,0.0,0.0,0.0,e1e2,-0.24,0.26,0.2,0.42,0.2,0.0,0.0,0.0
3r1rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP2RP1K/3R4 w - - 3 22,-0.36,0.26,0.11,0.42,0.3,0.0,0.0,0.0,e2d2,-0.36,0.26,0.19,0.38,0.61,0.0,0.0,0.0,d1d8,2.0,0.07,0.38,1.13,0.0,0.0,0.0,0.0
5rk1/2p2pb1/pp2p1p1/4P2p/1qP2Q1P/2N3P1/PP1r1P1K/3R4 w - - 0 23,-2.0,0.49,-0.05,0.22,0.01,0.0,0.0,0.0,d1d2,-0.36,0.3,0.1,0.38,0.11,0.0,0.0,0.0,d1d2,-0.36,0.3,0.1,0.38,0.11,0.0,0.0,0.0
5rk1/2p2pb1/pp2p1p1/2q1P2p/2P2Q1P/2N3P1/PP1R1P1K/8 w - - 1 24,-0.34,0.3,-0.03,0.35,-0.26,0.0,0.0,0.0,d2e2,-0.34,0.3,-0.08,0.38,-0.26,0.0,0.0,0.0,c3e4,-0.13,0.3,-0.14,0.44,-0.6,0.0,0.0,0.0
3r2k1/2p2pb1/pp2p1p1/2q1P2p/2P2Q1P/2N3P1/PP2RP1K/8 w - - 3 25,-0.38,0.3,-0.22,0.4,-0.51,0.0,0.0,0.0,b2b3,-0.47,0.3,-0.17,0.4,-0.45,0.0,0.0,0.0,c3a4,-0.58,0.3,-0.53,0.38,-0.36,0.0,0.0,0.0
6k1/2p2pb1/pp2p1p1/2q1P2p/2P2Q1P/1PNr2P1/P3RP1K/8 w - - 1 26,-0.55,0.3,-0.12,0.27,-0.92,0.0,0.0,0.0,c3a4,-0.75,0.3,-0.24,0.25,-0.22,0.0,0.0,0.0,c3a4,-0.75,0.3,-0.24,0.25,-0.22,0.0,0.0,0.0
6k1/2p2pb1/pp2p1p1/4P2p/NqP2Q1P/1P1r2P1/P3RP1K/8 w - - 3 27,-0.77,0.3,-0.16,0.34,0.03,0.0,0.0,0.0,f4e4,-0.77,0.3,-0.21,0.64,0.07,0.0,0.0,0.0,h2g2,-0.65,0.3,-0.16,0.21,0.07,0.0,0.0,0.0
6k1/2p2pb1/pp2p1p1/4P2p/NqP1Q2P/1P4P1/P2rRP1K/8 w - - 5 28,-0.8,0.3,-0.26,0.74,-0.58,0.0,0.0,0.0,a4b2,-0.83,0.3,-0.19,0.76,-0.56,0.0,0.0,0.0,e4a8,,,,,,,,
6k1/2p2pb1/pp2p1p1/4P2p/2P1Q2P/1Pq3P1/PN1rRP1K/8 w - - 7 29,-0.79,0.3,-0.32,0.62,-0.68,0.0,0.0,0.0,b2a4,-0.76,0.3,-0.41,0.58,-0.09,0.0,0.0,0.0,b2a4,-0.76,0.3,-0.41,0.58,-0.09,0.0,0.0,0.0
