r1bq1rk1/ppp1n1bp/3p1ppn/2PPp3/4P3/2N1BN2/PP3PPP/R2QKB1R w KQ - 1 10,-0.42,0.0,0.62,0.6,0.23,0.0,0.69,0.0,c5d6,0.43,0.28,0.74,0.71,0.12,0.95,0.51,0.0,d1b3,-0.41,0.0,0.62,0.61,0.23,0.0,0.69,0.0
r1bq1rk1/pp2n1bp/3p1ppn/3Pp3/4P3/2N1BN2/PP3PPP/R2QKB1R w KQ - 0 11,-0.31,0.0,0.59,0.6,0.22,0.0,0.31,0.0,f1e2,-0.25,0.0,0.61,0.6,0.22,0.0,0.31,0.0,h2h3,-0.39,0.0,0.99,0.67,0.22,0.0,0.31,0.0
r1bq1rk1/pp2n1bp/3p1pp1/3Pp3/4P1n1/2N1BN2/PP2BPPP/R2QK2R w KQ - 2 12,-0.61,0.0,0.56,0.52,-0.15,0.0,0.23,0.0,e3d2,-0.67,0.0,0.5,0.52,0.1,0.0,0.23,0.0,e3c1,-0.73,0.0,0.43,0.52,0.13,0.0,0.23,0.0
r1bq1rk1/pp2n1bp/3p2p1/3Ppp2/4P1n1/2N2N2/PP1BBPPP/R2QK2R w KQ - 0 13,-0.64,0.0,0.68,0.57,0.06,0.0,0.08,0.0,e1g1,0.06,0.0,0.81,0.58,0.2,0.0,0.08,0.0,a1c1,-0.56,0.0,0.6,0.56,0.06,0.0,0.08,0.0
r1bq1rk1/pp2n1b1/3p2pp/3Ppp2/4P1n1/2N2N2/PP1BBPPP/R2Q1RK1 w - - 0 14,0.14,0.0,0.86,0.5,0.2,0.0,0.08,0.0,a1c1,0.22,0.0,0.83,0.5,0.2,0.0,0.08,0.0,d2e1,0.01,0.0,0.55,0.36,0.26,0.0,0.08,0.0
r1bq2k1/pp2nrb1/3p2pp/3Ppp2/4P1n1/2N2N2/PP1BBPPP/2RQ1RK1 w - - 2 15,0.19,0.0,0.83,0.5,0.2,0.0,0.08,0.0,d1b3,0.2,0.0,1.01,0.52,0.16,0.0,0.08,0.0,d2e1,0.06,0.0,0.48,0.36,0.26,0.0,0.08,0.0
r1bq2k1/1p2nrb1/p2p2pp/3Ppp2/4P1n1/1QN2N2/PP1BBPPP/2R2RK1 w - - 0 16,0.26,0.0,0.97,0.51,0.2,0.0,0.08,0.0,b3b4,0.25,0.0,0.97,0.55,0.07,0.0,0.08,0.0,a2a4,0.23,0.0,1.06,0.52,0.2,0.0,0.08,0.0
r1bq2k1/1p2nrb1/p2p1npp/3Ppp2/1Q2P3/2N2N2/PP1BBPPP/2R2RK1 w - - 2 17,0.29,0.0,0.85,0.55,-0.33,0.0,0.15,0.0,e4f5,0.77,0.26,0.53,1.45,-0.86,0.2,0.2,0.0,e4f5,0.77,0.26,0.53,1.45,-0.86,0.2,0.2,0.0
r1bq2k1/1p2nrb1/p2p1n1p/3Ppp2/1Q6/2N2N2/PP1BBPPP/2R2RK1 w - - 0 18,0.12,0.0,0.44,0.73,-0.64,0.0,-0.05,0.0,f1e1,0.16,0.0,0.49,0.73,-0.64,0.0,-0.05,0.0,a2a4,0.09,0.0,0.48,0.73,-0.64,0.0,-0.05,0.0
r1bq2k1/4nrb1/p2p1n1p/1p1Ppp2/1Q6/2N2N2/PP1BBPPP/2R1R1K1 w - - 0 19,0.29,0.0,0.12,0.73,-0.57,0.0,-0.1,0.0,a2a4,0.25,0.0,0.15,0.73,-0.57,0.0,-0.1,0.0,a2a4,0.25,0.0,0.15,0.73,-0.57,0.0,-0.1,0.0
r1bq2k1/5rb1/p2p1n1p/1p1npp2/PQ6/2N2N2/1P1BBPPP/2R1R1K1 w - - 0 20,-0.66,-0.24,-0.17,0.65,-1.26,0.09,-0.3,0.0,c3d5,2.0,0.31,0.09,1.26,-0.76,0.09,-0.15,0.0,b4h4,-0.67,-0.24,-0.22,0.73,-0.79,0.09,-0.26,0.0
r1bq2k1/5rb1/p2p3p/1p1npp2/PQ6/5N2/1P1BBPPP/2R1R1K1 w - - 0 21,-0.66,-0.18,-0.1,0.62,-0.66,0.09,-0.25,0.0,b4b3,-0.66,-0.18,0.07,0.47,-0.11,0.09,-0.25,0.0,b4b3,-0.66,-0.18,0.07,0.47,-0.11,0.09,-0.25,0.0
