rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/R2QK2R w KQ - 0 10,0.19,0.0,0.39,0.31,0.07,0.0,0.18,0.0,e1g1,0.89,0.0,0.48,0.35,0.07,0.0,0.18,0.0,h2h4,0.17,0.0,0.48,0.24,0.07,0.0,0.18,0.0
rn1q1rk1/pb2ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/R2Q1RK1 w - - 2 11,0.81,0.0,0.41,0.42,-0.36,0.0,0.18,0.0,d1b1,0.77,0.0,0.44,0.46,-0.12,0.0,0.18,0.0,d1c2,0.83,0.0,0.5,0.46,-0.09,0.0,0.18,0.0
rn3rk1/pbq1ppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/RQ3RK1 w - - 4 12,0.75,0.0,0.36,0.31,-0.02,0.0,0.18,0.0,f1c1,0.75,0.0,0.26,0.31,-0.02,0.0,0.18,0.0,h2h4,0.74,0.0,0.4,0.2,-0.02,0.0,0.18,0.0
r4rk1/pbqnppbp/1p4p1/2p5/3PP3/2P1BN2/P3BPPP/RQR3K1 w - - 6 13,0.38,0.0,0.08,0.31,0.01,0.0,0.18,0.0,a2a4,0.35,0.0,0.27,0.31,0.01,0.0,0.18,0.0,a2a4,0.35,0.0,0.27,0.31,0.01,0.0,0.18,0.0
r4rk1/1bqnppbp/pp4p1/2p5/P2PP3/2P1BN2/4BPPP/RQR3K1 w - - 0 14,0.4,0.0,0.25,0.31,-0.02,0.0,0.18,0.0,a1a2,0.45,0.0,0.25,0.31,-0.02,0.0,0.18,0.0,f3d2,0.3,0.0,0.22,0.31,0.0,0.0,0.18,0.0
r4rk1/1bqn1pbp/pp2p1p1/2p5/P2PP3/2P1BN2/R3BPPP/1QR3K1 w - - 0 15,0.38,0.0,0.25,0.27,-0.06,0.0,0.14,0.0,a2b2,0.41,0.0,0.12,0.27,-0.06,0.0,0.14,0.0,c1d1,0.42,0.0,0.36,0.27,-0.06,0.0,0.14,0.0
r4rk1/2qn1pbp/ppb1p1p1/2p5/P2PP3/2P1BN2/1R2BPPP/1QR3K1 w - - 2 16,0.48,0.0,0.0,0.27,-0.36,0.0,0.14,0.0,h2h4,0.46,0.0,0.05,0.16,-0.36,0.0,0.14,0.0,e2d1,0.35,0.0,-0.03,0.27,-0.05,0.0,0.14,0.0
r4rk1/2qn1pbp/pp2p1p1/2p5/b2PP2P/2P1BN2/1R2BPP1/1QR3K1 w - - 0 17,-0.09,-0.2,0.05,0.2,0.12,-0.07,0.03,0.0,b2a2,-0.13,-0.2,0.17,0.2,0.66,-0.07,0.03,0.0,h4h5,-0.03,-0.2,0.05,0.53,0.02,-0.07,0.03,0.0
r4rk1/2qn1pbp/ppb1p1p1/2p5/3PP2P/2P1BN2/R3BPP1/1QR3K1 w - - 2 18,-0.16,-0.2,0.21,0.16,-0.02,-0.07,0.06,0.0,a2a6,0.39,0.0,0.22,0.16,0.02,0.0,0.12,0.0,h4h5,-0.1,-0.2,0.21,0.49,-0.12,-0.07,0.06,0.0
5rk1/2qn1pbp/rpb1p1p1/2p5/3PP2P/2P1BN2/4BPP1/1QR3K1 w - - 0 19,-2.0,0.16,0.07,0.16,0.8,0.0,0.04,0.0,e2a6,0.25,0.0,0.22,0.16,-0.06,0.0,0.1,0.0,e2a6,0.25,0.0,0.22,0.16,-0.06,0.0,0.1,0.0
r5k1/2qn1pbp/Bpb1p1p1/2p5/3PP2P/2P1BN2/5PP1/1QR3K1 w - - 1 20,0.34,0.0,0.12,0.16,-0.59,0.0,0.1,0.0,a6d3,0.5,0.0,-0.07,0.16,0.11,0.0,0.1,0.0,a6e2,0.43,0.0,-0.01,0.16,0.04,0.0,0.1,0.0
r5k1/1q1n1pbp/1pb1p1p1/2p5/3PP2P/2PBBN2/5PP1/1QR3K1 w - - 3 21,0.51,0.0,0.05,0.27,0.01,0.0,0.1,0.0,f3d2,0.41,0.0,-0.06,0.24,0.03,0.0,0.1,0.0,f3d2,0.41,0.0,-0.06,0.24,0.03,0.0,0.1,0.0
r5k1/2qn1pbp/1pb1p1p1/2p5/3PP2P/2PBB3/3N1PP1/1QR3K1 w - - 5 22,0.39,0.0,-0.18,0.12,0.1,0.0,0.1,0.0,d2c4,0.66,0.0,-0.07,0.1,-0.1,0.0,0.1,0.0,e4e5,0.25,0.0,0.0,0.24,0.04,0.0,0.18,0.0
1r4k1/2qn1pbp/1pb1p1p1/2p5/2NPP2P/2PBB3/5PP1/1QR3K1 w - - 7 23,0.61,0.0,0.11,0.11,-0.13,0.0,0.1,0.0,g2g3,0.6,0.0,0.23,-0.03,0.19,0.0,0.1,0.0,c4d2,0.34,0.0,0.0,0.12,0.07,0.0,0.1,0.0
1r4k1/2qn1pbp/2b1p1p1/1pp5/2NPP2P/2PBB1P1/5P2/1QR3K1 w - - 0 24,0.63,0.0,-0.09,-0.03,-0.53,-0.08,0.07,0.0,c4d2,0.37,0.0,-0.25,-0.03,0.22,-0.08,0.07,0.0,c4d2,0.37,0.0,-0.25,-0.03,0.22,-0.08,0.07,0.0
1r4k1/3n1pbp/2bqp1p1/1pp5/3PP2P/2PBB1P1/3N1P2/1QR3K1 w - - 2 25,0.38,0.0,-0.05,-0.03,0.41,-0.08,0.07,0.0,e3f4,0.41,0.0,0.06,0.0,1.52,-0.08,0.1,0.0,e4e5,0.24,0.0,-0.12,-0.15,1.0,-0.08,0.14,0.0
1r4k1/3n1pbp/2bq2p1/1pp1p3/3PPB1P/2PB2P1/3N1P2/1QR3K1 w - - 0 26,0.38,0.0,-0.16,0.04,-0.36,-0.11,0.0,0.0,d4e5,1.13,0.19,-0.32,0.08,0.87,-0.08,0.09,0.0,f4e3,0.34,0.0,-0.28,0.04,0.06,-0.11,0.0,0.0
1r4k1/5pbp/2bq2p1/1pp1n3/4PB1P/2PB2P1/3N1P2/1QR3K1 w - - 0 27,0.16,0.0,-0.45,-0.03,-0.78,-0.08,0.0,0.0,d3e2,0.1,0.0,-0.39,0.04,0.25,-0.08,0.0,0.0,d3e2,0.1,0.0,-0.39,0.04,0.25,-0.08,0.0,0.0
