r2q1rk1/pb2ppbp/1pn2np1/2pp4/P3P3/R2P1NP1/1PPN1PBP/2BQ1RK1 w - - 2 10,0.01,0.0,-0.35,0.04,0.2,0.0,-0.1,0.0,f1e1,0.06,0.0,-0.33,0.04,0.2,0.0,-0.1,0.0,f1e1,0.06,0.0,-0.33,0.04,0.2,0.0,-0.1,0.0
r2q1rk1/pb2ppbp/1pn2np1/2p5/P3p3/R2P1NP1/1PPN1PBP/2BQR1K1 w - - 0 11,-0.7,-0.28,-0.49,0.0,-0.79,0.0,-0.26,0.0,d3e4,0.08,0.0,-0.23,0.08,0.59,0.0,0.04,0.0,d3e4,0.08,0.0,-0.23,0.08,0.59,0.0,0.04,0.0
r2q1rk1/pb3pbp/1pn1pnp1/2p5/P3P3/R4NP1/1PPN1PBP/2BQR1K1 w - - 0 12,0.0,0.0,-0.29,0.04,0.59,0.0,0.0,0.0,c2c3,0.01,0.0,-0.3,0.04,0.3,0.0,0.04,0.0,a3d3,0.14,0.0,-0.28,0.04,0.2,0.0,0.0,0.0
r2q1rk1/pb1n1pbp/1pn1p1p1/2p5/P3P3/R1P2NP1/1P1N1PBP/2BQR1K1 w - - 1 13,0.11,0.0,-0.35,0.04,0.03,0.0,0.04,0.0,d2c4,0.38,0.0,0.13,0.15,0.39,0.0,0.04,0.0,d2c4,0.38,0.0,0.13,0.15,0.39,0.0,0.04,0.0
r2q1rk1/p2n1pbp/bpn1p1p1/2p5/P1N1P3/R1P2NP1/1P3PBP/2BQR1K1 w - - 3 14,0.45,0.0,0.18,0.15,-0.17,0.0,0.04,0.0,g2f1,0.37,0.0,0.25,0.15,0.16,0.0,0.04,0.0,g2f1,0.37,0.0,0.25,0.15,0.16,0.0,0.04,0.0
r2q1rk1/p2n1pbp/1pn1p1p1/2p5/P1b1P3/R1P2NP1/1P3P1P/2BQRBK1 w - - 0 15,-2.0,-0.66,0.08,0.04,1.15,0.0,-0.07,0.0,f1c4,0.51,0.09,0.37,0.15,0.39,0.0,0.04,0.0,f1c4,0.51,0.09,0.37,0.15,0.39,0.0,0.04,0.0
r2q1rk1/p4pbp/1pn1p1p1/2p1n3/P1B1P3/R1P2NP1/1P3P1P/2BQR1K1 w - - 1 16,0.21,0.09,0.23,0.06,-0.51,0.0,0.04,0.0,c4e2,0.11,0.09,0.18,0.0,0.32,0.0,0.04,0.0,f3e5,2.0,0.75,0.41,0.35,-0.19,0.0,0.13,0.0
r4rk1/p3qpbp/1pn1p1p1/2p1n3/P3P3/R1P2NP1/1P2BP1P/2BQR1K1 w - - 3 17,0.07,0.09,0.14,0.0,0.0,0.0,0.04,0.0,f3e5,2.0,0.75,0.35,0.25,-0.51,0.0,0.13,0.0,f3e5,2.0,0.75,0.35,0.25,-0.51,0.0,0.13,0.0
r4rk1/p3qpbp/1p2p1p1/2p1n3/P3P3/R1P3P1/1P2BP1P/2BQR1K1 w - - 0 18,0.07,0.03,0.13,0.0,-0.09,0.0,0.03,0.0,f2f4,0.06,0.03,0.13,-0.33,0.58,0.0,0.11,0.0,f2f4,0.06,0.03,0.13,-0.33,0.58,0.0,0.11,0.0
r2r2k1/p3qpbp/1p2p1p1/2p1n3/P3PP2/R1P3P1/1P2B2P/2BQR1K1 w - - 1 19,0.01,0.03,-0.01,-0.34,-0.29,0.0,0.11,0.0,d1c2,0.03,0.03,-0.12,-0.31,0.97,0.0,0.11,0.0,d1c2,0.03,0.03,-0.12,-0.31,0.97,0.0,0.11,0.0
r2r2k1/p3qpbp/1pn1p1p1/2p5/P3PP2/R1P3P1/1PQ1B2P/2B1R1K1 w - - 3 20,0.24,0.03,0.05,-0.24,0.17,0.0,0.14,0.0,e4e5,0.1,0.03,0.18,-0.16,0.07,0.0,0.3,0.0,a3a1,0.21,0.03,0.09,-0.24,0.17,0.0,0.14,0.0
r2r2k1/p3qpbp/1pn1p1p1/4P3/P1p2P2/R1P3P1/1PQ1B2P/2B1R1K1 w - - 0 21,0.19,0.03,0.05,-0.67,0.39,0.0,0.27,0.0,c1e3,0.31,0.03,0.25,-0.16,0.36,0.0,0.34,0.0,c2e4,0.19,0.03,0.2,-0.63,0.46,0.0,0.34,0.0
r2r2k1/p3qpbp/1p2p1p1/n3P3/P1p2P2/R1P1B1P1/1PQ1B2P/4R1K1 w - - 2 22,0.51,0.03,0.18,-0.12,0.29,0.0,0.34,0.0,a3a1,0.48,0.03,0.32,-0.12,0.29,0.0,0.34,0.0,a3a1,0.48,0.03,0.32,-0.12,0.29,0.0,0.34,0.0
r2r1bk1/p3qp1p/1p2p1p1/n3P3/P1p2P2/2P1B1P1/1PQ1B2P/R3R1K1 w - - 4 23,0.56,0.03,0.32,-0.06,0.25,0.0,0.34,0.0,a1d1,0.68,0.03,0.37,-0.05,0.15,0.0,0.34,0.0,h2h4,0.54,0.03,0.32,-0.12,0.25,0.0,0.38,0.0
r2r1bk1/p1q2p1p/1p2p1p1/n3P3/P1p2P2/2P1B1P1/1PQ1B2P/3RR1K1 w - - 6 24,0.7,0.03,0.3,-0.01,0.1,0.0,0.34,0.0,e2f3,0.66,0.03,0.51,0.04,0.49,0.0,0.4,0.0,h2h4,0.69,0.03,0.3,-0.09,0.1,0.0,0.38,0.0
2rr1bk1/p1q2p1p/1p2p1p1/n3P3/P1p2P2/2P1BBP1/1PQ4P/3RR1K1 w - - 8 25,0.58,0.03,0.41,0.04,0.03,0.0,0.4,0.0,g1g2,0.46,0.03,0.48,0.04,0.03,0.0,0.4,0.0,h2h4,0.56,0.03,0.48,-0.02,0.03,0.0,0.46,0.0
2rr2k1/p1q2p1p/1p2p1p1/n1b1P3/P1p2P2/2P1BBP1/1PQ3KP/3RR3 w - - 10 26,0.3,0.03,0.53,0.11,0.29,0.0,0.34,0.0,e3c5,2.0,0.49,0.75,0.5,-1.12,0.0,0.48,0.0,e3c5,2.0,0.49,0.75,0.5,-1.12,0.0,0.48,0.0
2rr2k1/p4p1p/1p2p1p1/n1q1P3/P1p2P2/2P2BP1/1PQ3KP/3RR3 w - - 0 27,0.34,-0.26,0.3,-0.02,0.53,0.0,0.0,0.0,h2h4,0.32,-0.26,0.3,-0.1,0.53,0.0,0.0,0.0,h2h4,0.32,-0.26,0.3,-0.1,0.53,0.0,0.0,0.0
2rr2k1/p4p2/1p2p1p1/n1q1P2p/P1p2P1P/2P2BP1/1PQ3K1/3RR3 w - - 0 28,0.34,-0.26,0.27,-0.02,0.5,0.0,0.0,0.0,f3e4,0.55,-0.26,0.27,-0.1,0.33,0.0,0.0,0.0,g3g4,0.33,-0.26,0.27,0.44,0.56,0.0,0.0,0.0
2rr4/p4pk1/1p2p1p1/n1q1P2p/P1p1BP1P/2P3P1/1PQ3K1/3RR3 w - - 2 29,0.66,-0.26,0.14,-0.19,0.37,0.0,0.0,0.0,c2e2,0.68,-0.26,0.27,-0.07,0.33,0.0,0.0,0.0,c2e2,0.68,-0.26,0.27,-0.07,0.33,0.0,0.0,0.0
rnbqr1k1/ppp2pbp/3pPnp1/8/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 b - - 0 10,1.1,0.28,0.89,0.72,-0.39,0.66,0.46,0.0,c8e6,0.41,0.0,0.4,0.04,-0.41,0.0,0.25,0.0,c8e6,0.41,0.0,0.4,0.04,-0.41,0.0,0.25,0.0
rn1qr1k1/ppp2pbp/3pbnp1/8/2P1P3/2NQ1NP1/PP3PBP/R1B2RK1 b - - 1 11,0.42,0.0,0.44,0.08,-0.09,0.0,0.25,0.0,b8d7,0.05,0.0,0.16,0.04,-0.25,0.0,0.25,0.0,b8c6,-0.05,0.0,0.09,0.04,-0.21,0.0,0.25,0.0
r2qr1k1/pppn1pbp/3pbnp1/8/2PNP3/2NQ2P1/PP3PBP/R1B2RK1 b - - 3 12,0.26,0.0,0.22,0.0,-0.11,0.0,0.25,0.0,d7e5,-0.05,0.0,0.05,-0.09,-0.72,0.0,0.25,0.0,d7e5,-0.05,0.0,0.05,-0.09,-0.72,0.0,0.25,0.0
r2qr1k1/ppp2pbp/3pNnp1/4n3/2P1P3/2NQ2P1/PP3PBP/R1B2RK1 b - - 0 13,2.0,0.76,0.38,0.36,-1.11,0.0,0.31,0.0,e5d3,-2.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,e5d3,-2.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0
r2Nr1k1/ppp2pbp/3p1np1/8/2P1P3/2Nn2P1/PP3PBP/R1B2RK1 b - - 0 14,2.0,0.85,0.11,-0.04,-0.5,0.0,0.0,0.0,a8d8,-0.15,0.23,-0.01,-0.12,-0.3,0.0,0.0,0.0,a8d8,-0.15,0.23,-0.01,-0.12,-0.3,0.0,0.0,0.0
