r1b1kb1r/pp3pp1/2pp1n1p/q3n3/3NP1P1/2N1B2P/PPP2P2/R2QKBR1 w Qkq - 1 10,0.27,0.0,0.08,-0.44,-0.25,0.0,0.09,0.0,f2f4,0.26,0.0,0.2,-0.33,0.42,0.0,0.17,0.0,d4b3,-0.04,0.0,0.24,-0.49,0.55,0.0,0.09,0.0
r1b1kb1r/pp3pp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPP5/R2QKBR1 w Qkq - 1 11,0.58,0.0,0.15,-0.21,-0.3,0.0,0.22,0.0,d1d2,0.62,0.0,0.57,-0.13,-0.01,0.0,0.22,0.0,d1d3,0.6,0.0,0.05,-0.13,-0.12,0.0,0.22,0.0
r1b1k2r/pp2bpp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPPQ4/R3KBR1 w Qkq - 3 12,0.56,0.0,0.33,-0.13,-0.01,0.0,0.22,0.0,e1c1,1.04,0.0,0.27,-0.13,-0.05,0.0,0.22,0.0,e1c1,1.04,0.0,0.27,-0.13,-0.05,0.0,0.22,0.0
r3k2r/pp1bbpp1/2pp1nnp/q7/3NPPP1/2N1B2P/PPPQ4/2KR1BR1 w kq - 5 13,0.98,0.0,0.26,-0.13,-0.05,0.0,0.22,0.0,d4f5,0.96,0.0,0.43,1.61,0.34,0.0,0.22,0.0,d4f5,0.96,0.0,0.43,1.61,0.34,0.0,0.22,0.0
r4rk1/pp1bbpp1/2pp1nnp/q4N2/4PPP1/2N1B2P/PPPQ4/2KR1BR1 w - - 7 14,0.25,0.0,0.28,0.19,0.04,0.0,0.22,0.0,f5e7,,,,,,,,,f5e7,,,,,,,,
r4rk1/pp1bnpp1/2pp1n1p/q7/4PPP1/2N1B2P/PPPQ4/2KR1BR1 w - - 0 15,0.26,0.09,0.47,-0.25,0.21,0.0,0.18,0.0,d2d6,0.92,0.33,0.57,-0.01,1.04,0.0,0.26,0.0,g4g5,0.18,0.09,0.38,0.31,0.99,0.0,0.22,0.0
r3r1k1/pp1bnpp1/2pQ1n1p/q7/4PPP1/2N1B2P/PPP5/2KR1BR1 w - - 1 16,0.88,0.33,0.51,-0.01,0.71,0.0,0.26,0.0,e4e5,0.74,0.33,0.37,-0.05,1.33,0.0,0.33,0.0,g4g5,0.8,0.33,0.42,0.54,1.51,0.0,0.29,0.0
r3r1k1/pp1bnpp1/2pQ3p/q2nP3/5PP1/2N1B2P/PPP5/2KR1BR1 w - - 1 17,0.53,0.33,0.14,-0.05,-0.58,0.0,0.33,0.0,e3d2,0.47,0.33,0.0,-0.05,0.48,0.0,0.33,0.0,d6c5,0.55,0.33,0.27,-0.25,-0.17,0.0,0.3,0.0
r3r1k1/pp1bnpp1/1qpQ3p/3nP3/5PP1/2N4P/PPPB4/2KR1BR1 w - - 3 18,0.46,0.33,0.02,-0.13,-0.33,0.0,0.29,0.0,f1c4,0.62,0.33,0.16,-0.12,0.0,0.0,0.29,0.0,g1g3,0.5,0.33,0.12,-0.12,0.33,0.0,0.29,0.0
3rr1k1/pp1bnpp1/1qpQ3p/3nP3/2B2PP1/2N4P/PPPB4/2KR2R1 w - - 5 19,0.5,0.33,0.11,-0.12,-0.33,0.0,0.29,0.0,c3d5,2.0,0.9,0.27,0.44,-0.41,0.0,0.33,0.0,c3d5,2.0,0.9,0.27,0.44,-0.41,0.0,0.33,0.0
3rr1k1/pp1b1pp1/1qpQ3p/3nP3/2B2PP1/7P/PPPB4/2KR2R1 w - - 0 20,0.39,0.21,0.12,-0.15,-0.25,0.0,0.25,0.0,c4d5,2.0,0.83,0.28,0.9,-1.23,0.0,0.27,0.0,d6a3,0.34,0.21,0.2,-0.23,0.95,0.0,0.22,0.0
