r1bq1rk1/ppp2pp1/2nbpn1p/8/2PP4/5NP1/PB2PPBP/RN1Q1RK1 w - - 0 10,-0.38,0.0,0.27,-0.42,0.4,0.0,0.22,0.0,b1c3,0.09,0.0,0.37,-0.38,0.37,0.0,0.22,0.0,b1d2,-0.01,0.0,0.45,-0.38,0.37,0.0,0.22,0.0
r1bq1rk1/ppp1bpp1/2n1pn1p/8/2PP4/2N2NP1/PB2PPBP/R2Q1RK1 w - - 2 11,0.15,0.0,0.3,-0.26,-0.06,0.0,0.22,0.0,e2e4,0.27,0.0,0.35,-0.23,0.15,0.0,0.35,0.0,e2e4,0.27,0.0,0.35,-0.23,0.15,0.0,0.35,0.0
r1bq1rk1/ppp2pp1/2n1pn1p/8/1bPPP3/2N2NP1/PB3PBP/R2Q1RK1 w - - 1 12,0.15,0.0,0.33,-0.23,0.12,0.0,0.3,0.0,e4e5,0.01,0.0,0.38,-0.23,0.74,0.0,0.53,0.0,d1e2,0.19,0.0,0.39,-0.19,0.13,0.0,0.3,0.0
r1bqnrk1/ppp2pp1/2n1p2p/4P3/1bPP4/2N2NP1/PB3PBP/R2Q1RK1 w - - 1 13,0.39,0.0,0.88,-0.19,-0.06,0.0,0.59,0.0,d1b3,0.4,0.0,0.85,-0.19,-0.11,0.0,0.59,0.0,d1b3,0.4,0.0,0.85,-0.19,-0.11,0.0,0.59,0.0
r1bqnrk1/ppp2pp1/2n1p2p/4P3/2PP4/1Qb2NP1/PB3PBP/R4RK1 w - - 0 14,-2.0,-0.66,0.87,-0.26,0.05,0.0,0.47,0.0,b2c3,0.66,0.09,1.24,-0.23,-0.14,0.0,0.56,0.0,b2c3,0.66,0.09,1.24,-0.23,-0.14,0.0,0.56,0.0
r1bqnrk1/1pp2pp1/2n1p2p/p3P3/2PP4/1QB2NP1/P4PBP/R4RK1 w - - 0 15,0.69,0.09,1.1,-0.23,-0.17,0.0,0.56,0.0,a1d1,0.82,0.09,1.24,-0.23,-0.17,0.0,0.56,0.0,d4d5,0.6,0.09,1.06,-0.19,0.8,0.0,0.56,0.0
r1bqnrk1/2p2pp1/1pn1p2p/p3P3/2PP4/1QB2NP1/P4PBP/3R1RK1 w - - 0 16,0.9,0.09,0.95,-0.23,-0.17,0.0,0.56,0.0,d4d5,0.81,0.09,0.9,-0.19,1.13,0.0,0.56,0.0,f3h4,0.71,0.09,0.94,-0.23,0.16,0.0,0.56,0.0
r1bqnrk1/2p2pp1/1pn4p/p2pP3/2P5/1QB2NP1/P4PBP/3R1RK1 w - - 0 17,0.26,-0.1,0.74,-0.34,0.04,0.03,0.1,0.0,c4d5,0.94,0.13,0.9,-0.26,1.16,0.63,0.3,0.0,c4d5,0.94,0.13,0.9,-0.26,1.16,0.63,0.3,0.0
r1bqnrk1/2p1npp1/1p5p/p2PP3/8/1QB2NP1/P4PBP/3R1RK1 w - - 1 18,1.04,0.13,1.01,-0.19,-0.16,0.63,0.33,0.0,f1e1,1.08,0.13,1.15,-0.15,-0.16,0.63,0.33,0.0,f1e1,1.08,0.13,1.15,-0.15,-0.16,0.63,0.33,0.0
1rbqnrk1/2p1npp1/1p5p/p2PP3/8/1QB2NP1/P4PBP/3RR1K1 w - - 3 19,1.03,0.13,1.19,-0.15,-0.16,0.63,0.33,0.0,f3d4,1.24,0.13,1.29,-0.15,-0.31,0.63,0.33,0.0,c3a5,1.58,0.35,1.14,-0.15,-1.29,0.63,0.37,0.0
1rbqnrk1/2p2pp1/1p4np/p2PP3/3N4/1QB3P1/P4PBP/3RR1K1 w - - 5 20,1.25,0.13,1.3,-0.3,-0.18,0.63,0.33,0.0,d4c6,1.29,0.13,1.31,-0.27,1.5,0.63,0.33,0.0,d4c6,1.29,0.13,1.31,-0.27,1.5,0.63,0.33,0.0
1rb1nrk1/2p2pp1/1pN3np/p2PP1q1/8/1QB3P1/P4PBP/3RR1K1 w - - 7 21,1.28,0.13,1.16,-0.52,1.32,0.63,0.27,0.0,c6b8,2.0,-0.04,1.06,-0.57,0.0,0.63,0.0,0.0,c6b8,2.0,-0.04,1.06,-0.57,0.0,0.63,0.0,0.0
1N2nrk1/2p2pp1/1p4np/p2PP1q1/6b1/1QB3P1/P4PBP/3RR1K1 w - - 1 22,2.0,-0.04,1.01,-0.61,0.0,0.63,0.0,0.0,f2f3,2.0,-0.04,0.94,-0.82,0.0,0.63,0.0,0.0,f2f3,2.0,-0.04,0.94,-0.82,0.0,0.63,0.0,0.0
