r2qkb1r/1p1n1pp1/p2pbn2/4p2p/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQkq - 2 10,0.09,0.0,0.35,-0.14,-0.26,0.0,0.0,0.0,c3d5,0.31,0.0,0.61,0.15,0.25,0.0,0.06,0.0,e1c1,0.57,0.0,0.35,-0.08,-0.22,0.0,0.0,0.0
r2qkb1r/1p1n1pp1/p2p1n2/3bp2p/4P3/1N2BP2/PPPQ2PP/R3KB1R w KQkq - 0 11,-2.0,-0.66,0.27,-0.18,1.03,0.0,-0.08,0.0,e4d5,0.17,0.09,0.27,-0.1,-0.23,0.0,0.1,0.0,e4d5,0.17,0.09,0.27,-0.1,-0.23,0.0,0.1,0.0
r2qkb1r/1p1n1p2/p2p1np1/3Pp2p/8/1N2BP2/PPPQ2PP/R3KB1R w KQkq - 0 12,0.18,0.09,0.07,0.13,-0.23,0.0,0.1,0.0,f1e2,0.24,0.09,0.06,0.13,-0.23,0.0,0.1,0.0,f1e2,0.24,0.09,0.06,0.13,-0.23,0.0,0.1,0.0
r2qk2r/1p1n1pb1/p2p1np1/3Pp2p/8/1N2BP2/PPPQB1PP/R3K2R w KQkq - 2 13,0.16,0.09,0.01,0.13,-0.23,0.0,0.1,0.0,e1g1,0.86,0.09,0.17,0.13,-0.23,0.0,0.1,0.0,e1g1,0.86,0.09,0.17,0.13,-0.23,0.0,0.1,0.0
r2qk2r/3n1pb1/pp1p1np1/3Pp2p/8/1N2BP2/PPPQB1PP/R4RK1 w kq - 0 14,0.95,0.09,0.26,0.13,-0.2,0.0,0.1,0.0,c2c4,0.93,0.09,0.3,0.17,-0.07,0.0,0.29,0.0,a1e1,1.07,0.09,0.31,0.13,-0.2,0.0,0.1,0.0
r2q1rk1/3n1pb1/pp1p1np1/3Pp2p/2P5/1N2BP2/PP1QB1PP/R4RK1 w - - 1 15,0.23,0.09,0.21,-0.02,-0.03,0.0,0.29,0.0,a1e1,0.35,0.09,0.26,-0.02,-0.03,0.0,0.29,0.0,a1e1,0.35,0.09,0.26,-0.02,-0.03,0.0,0.29,0.0
r2q1rk1/5pb1/pp1p1np1/2nPp2p/2P5/1N2BP2/PP1QB1PP/4RRK1 w - - 3 16,0.09,0.09,0.19,-0.02,0.03,0.0,0.24,0.0,b3a1,-0.67,0.09,0.19,-0.02,0.5,0.0,0.24,0.0,d2c2,0.07,0.09,0.3,0.09,-0.03,0.0,0.24,0.0
r2q1rk1/5pb1/1p1p1np1/p1nPp2p/2P5/4BP2/PP1QB1PP/N3RRK1 w - - 0 17,-0.7,0.09,-0.01,-0.02,0.23,0.0,0.24,0.0,a1c2,0.01,0.09,0.06,-0.02,0.26,0.0,0.24,0.0,a1c2,0.01,0.09,0.06,-0.02,0.26,0.0,0.24,0.0
r2q1r2/5pbk/1p1p1np1/p1nPp2p/2P5/4BP2/PPNQB1PP/4RRK1 w - - 2 18,0.25,0.09,-0.07,-0.1,0.23,0.0,0.24,0.0,c2a3,0.09,0.09,-0.1,-0.1,0.2,0.0,0.24,0.0,c2a3,0.09,0.09,-0.1,-0.1,0.2,0.0,0.24,0.0
r2q1rn1/5pbk/1p1p2p1/p1nPp2p/2P5/N3BP2/PP1QB1PP/4RRK1 w - - 4 19,0.56,0.09,-0.14,-0.1,0.2,0.0,0.24,0.0,a3b5,0.91,0.09,-0.07,-0.1,0.29,0.0,0.24,0.0,a3b5,0.91,0.09,-0.07,-0.1,0.29,0.0,0.24,0.0
