e5d4,r1bq1rk1/ppp1npb1/2n3pp/4p3/3PP3/3P1NP1/PP2NPBP/R1BQ1RK1 b - - 0 10
a7a5,r1bq1rk1/ppp1npb1/2n3pp/8/3pP3/P2P1NP1/1P2NPBP/R1BQ1RK1 b - - 0 11
a5a4,r1bq1rk1/1pp1npb1/2n3pp/p7/3pP2N/P2P2P1/1P2NPBP/R1BQ1RK1 b - - 1 12
c6a5,r1bq1rk1/1pp1npb1/2n3pp/8/p2pPP1N/P2P2P1/1P2N1BP/R1BQ1RK1 b - - 0 13
a8a6,r1bq1rk1/1pp1npb1/6pp/n4P2/p2pP2N/P2P2P1/1P2N1BP/R1BQ1RK1 b - - 0 14
a5b3,2bq1rk1/1pp1npb1/r5pp/n4P2/p2pP2N/P2P2P1/1P2N1BP/R1BQ1R1K b - - 2 15
g6g5,2bq1rk1/1pp1npb1/r5pp/5P2/p2pP2N/Pn1P2P1/1P2N1BP/1RBQ1R1K b - - 4 16
c7c5,2bq1rk1/1pp1npb1/r6p/5Pp1/p2pP3/Pn1P1NP1/1P2N1BP/1RBQ1R1K b - - 1 17
b3c1,2bq1rk1/1p2npb1/r6p/2p2Pp1/p2pP3/Pn1P2P1/1P1NN1BP/1RBQ1R1K b - - 1 18
b7b6,2bq1rk1/1p2npb1/r6p/2p2Pp1/p2pP3/P2P2P1/1P1NN1BP/2RQ1R1K b - - 0 19
g7f6,2bq1rk1/4npb1/rp3P1p/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2RQ1R1K b - - 0 20
e7g6,2bq1rk1/4np2/rp3R1p/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2RQ3K b - - 0 21
g8g7,2bq1rk1/5p2/rp3Rnp/2p3p1/p2pP3/P2P2P1/1P1NN1BP/2R2Q1K b - - 2 22
g6e5,2bq1r2/5pk1/rp4np/2p3p1/p2pP3/P2P2P1/1P1NNRBP/2R2Q1K b - - 4 23
e5g4,2bq1r2/5pk1/rp5p/2p1n1p1/p2pP3/P2P2P1/1P1N1RBP/2R2QNK b - - 6 24
g4e3,2bq1r2/5pk1/rp5p/2p3p1/p2pP1n1/P2P2P1/1P1NR1BP/2R2QNK b - - 8 25
e3g4,2bq1r2/5pk1/rp5p/2p3p1/p2pP3/P2Pn1P1/1P1NRQBP/2R3NK b - - 10 26
c8e6,2bq1r2/5pk1/rp5p/2p3p1/p2pP1n1/P2P2P1/1P1NR1BP/2R1Q1NK b - - 12 27
g4e5,3q1r2/5pk1/rp2b2p/2p3p1/p2pP1n1/P2P2P1/1P2R1BP/2R1QNNK b - - 14 28
e6g4,3q1r2/5pk1/rp2b2p/2p1n1p1/p2pP3/P2P2P1/1P1R2BP/2R1QNNK b - - 16 29
a2a3,r2q1rk1/pbpn1pp1/1p1ppn1p/8/1bPP3B/2NBPN2/PPQ2PPP/R3K2R w KQ - 2 10
b2c3,r2q1rk1/pbpn1pp1/1p1ppn1p/8/2PP3B/P1bBPN2/1PQ2PPP/R3K2R w KQ - 0 11
f3d2,r2q1rk1/pb1n1pp1/1p1ppn1p/2p5/2PP3B/P1PBPN2/2Q2PPP/R3K2R w KQ - 0 12
e1g1,2rq1rk1/pb1n1pp1/1p1ppn1p/2p5/2PP3B/P1PBP3/2QN1PPP/R3K2R w KQ - 2 13
c2b2,2r2rk1/pbqn1pp1/1p1ppn1p/2p5/2PP3B/P1PBP3/2QN1PPP/R4RK1 w - - 4 14
d4d5,2r2rk1/pbqn1pp1/1p1p1n1p/2p1p3/2PP3B/P1PBP3/1Q1N1PPP/R4RK1 w - - 0 15
f2f3,4rrk1/pbqn1pp1/1p1p1n1p/2pPp3/2P4B/P1PBP3/1Q1N1PPP/R4RK1 w - - 1 16
a3a4,2b1rrk1/p1qn1pp1/1p1p1n1p/2pPp3/2P4B/P1PBPP2/1Q1N2PP/R4RK1 w - - 1 17
b2c2,2b1rrk1/2qn1pp1/1p1p1n1p/p1pPp3/P1P4B/2PBPP2/1Q1N2PP/R4RK1 w - - 0 18
g2g4,2b1rrk1/2qn1pp1/1p1p3p/p1pPp2n/P1P4B/2PBPP2/2QN2PP/R4RK1 w - - 2 19
h4g3,2b1rrk1/2qn1pp1/1p1p1n1p/p1pPp3/P1P3PB/2PBPP2/2QN3P/R4RK1 w - - 1 20
h2h4,2b1rr1k/2qn1pp1/1p1p1n1p/p1pPp3/P1P3P1/2PBPPB1/2QN3P/R4RK1 w - - 3 21
g1g2,2b1r1rk/2qn1pp1/1p1p1n1p/p1pPp3/P1P3PP/2PBPPB1/2QN4/R4RK1 w - - 1 22
f1h1,2b1rnrk/2q2pp1/1p1p1n1p/p1pPp3/P1P3PP/2PBPPB1/2QN2K1/R4R2 w - - 3 23
