f2f4,rnbqr1k1/pp3ppp/2pb1n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - - 4 10
h2h3,rn1qr1k1/pp3ppp/2pb1n2/3pNb2/3P1P2/2N3P1/PP2P1BP/R1BQ1RK1 w - - 1 11
g3g4,rn1qr1k1/pp3ppp/2pb4/3pNb2/3PnP2/2N3PP/PP2P1B1/R1BQ1RK1 w - - 1 12
b2c3,rn1qr1k1/pp3ppp/2pb4/3pNb2/3P1PP1/2n4P/PP2P1B1/R1BQ1RK1 w - - 0 13
g2e4,rn1qr1k1/pp3ppp/2pb4/3pN3/3PbPP1/2P4P/P3P1B1/R1BQ1RK1 w - - 1 14
d1b3,rn1qr1k1/pp3ppp/2pb4/4N3/3PpPP1/2P4P/P3P3/R1BQ1RK1 w - - 0 15
c1a3,rn2r1k1/ppq2ppp/2pb4/4N3/3PpPP1/1QP4P/P3P3/R1B2RK1 w - - 2 16
b3a3,rn2r1k1/ppq2ppp/2p5/4N3/3PpPP1/bQP4P/P3P3/R4RK1 w - - 0 17
a3b3,rn2r1k1/ppq3pp/2p2p2/4N3/3PpPP1/Q1P4P/P3P3/R4RK1 w - - 0 18
e5c4,rn2rk2/ppq3pp/2p2p2/4N3/3PpPP1/1QP4P/P3P3/R4RK1 w - - 2 19
a1b1,r3rk2/ppq3pp/n1p2p2/8/2NPpPP1/1QP4P/P3P3/R4RK1 w - - 4 20
a2a4,r4k2/ppq1r1pp/n1p2p2/8/2NPpPP1/1QP4P/P3P3/1R3RK1 w - - 6 21
c4e3,4rk2/ppq1r1pp/n1p2p2/8/P1NPpPP1/1QP4P/4P3/1R3RK1 w - - 1 22
e3f5,1n2rk2/ppq1r1pp/2p2p2/8/P2PpPP1/1QP1N2P/4P3/1R3RK1 w - - 3 23
g4g5,1n2rk2/ppqr2pp/2p2p2/5N2/P2PpPP1/1QP4P/4P3/1R3RK1 w - - 5 24
f5h6,1n2rk2/ppqr3p/2p2pp1/5NP1/P2PpP2/1QP4P/4P3/1R3RK1 w - - 0 25
g1h1,1n2r3/ppqr2kp/2p2ppN/6P1/P2PpP2/1QP4P/4P3/1R3RK1 w - - 2 26
f4g5,1n2r3/ppqr2kp/2p3pN/6p1/P2PpP2/1QP4P/4P3/1R3R1K w - - 0 27
f1f7,1n2r3/pp1r2kp/2p3pN/6P1/P2Pp3/1QP3qP/4P3/1R3R1K w - - 1 28
c3c4,1n2r2k/pp1r1R1p/2p3pN/6P1/P2Pp3/1QP3qP/4P3/1R5K w - - 3 29
c6c5,rn1qk2r/pp2bpp1/2p1p3/3pPnBp/3P3P/3Q1N2/PPP1NPP1/R3K2R b KQkq - 7 10
b8c6,rn1qk2r/pp2bpp1/4p3/2ppPnBp/3P3P/2PQ1N2/PP2NPP1/R3K2R b KQkq - 0 11
f5g3,r2qk2r/pp2bpp1/2n1p3/2ppPnBp/3P3P/2PQ1NN1/PP3PP1/R3K2R b KQkq - 2 12
c5d4,r2qk2r/pp2bpp1/2n1p3/2ppP1Bp/3P3P/2PQ1NP1/PP4P1/R3K2R b KQkq - 0 13
e7g5,r2qk2r/pp2bpp1/2n1p3/3pP1Bp/3P3P/3Q1NP1/PP4P1/R3K2R b KQkq - 0 14
d8a5,r2qk2r/pp3pp1/2n1p3/3pP1Np/3P3P/3Q2P1/PP4P1/R3K2R b KQkq - 0 15
a5b4,r3k2r/pp3pp1/2n1p3/q2pP1Np/3P3P/3Q2P1/PP3KP1/R6R b kq - 2 16
e8c8,r3k2r/pp3pp1/2n1p3/3pP1Np/1q1P3P/3Q2P1/PP3KP1/3R3R b kq - 4 17
b4b2,2kr3r/pp3pp1/2n1p3/3pP1Np/1q1P3P/3Q2P1/PP3KP1/3R1R2 b - - 6 18
d8d7,2kr3r/pp3pp1/2n1p3/3pP1Np/3P3P/3Q2P1/Pq4P1/3R1RK1 b - - 1 19
h8g8,2k4r/pp1r1Np1/2n1p3/3pP2p/3P3P/3Q2P1/Pq4P1/3R1RK1 b - - 0 20
c8b8,2k3r1/pp1r2p1/2nNp3/3pP2p/3P3P/3Q2P1/Pq4P1/3R1RK1 b - - 2 21
g7g5,1k4r1/pp1r2p1/2nNp3/3pP2p/3P3P/3Q2P1/Pq4PK/3R1R2 b - - 4 22
b2d4,1k4r1/pp1r4/2nNp3/3pP1pp/3P3P/3Q2P1/Pq4PK/1R3R2 b - - 1 23
g5h4,1k4r1/pp1r4/2nNp3/1Q1pP1pp/3q3P/6P1/P5PK/1R3R2 b - - 1 24
g8f8,1k3Rr1/pp1r4/2nNp3/1Q1pP2p/3q3p/6P1/P5PK/1R6 b - - 1 25
h4g3,1k3r2/pp1r4/2QNp3/3pP2p/3q3p/6P1/P5PK/1R6 b - - 0 26
d7g7,1k3r2/pp1r4/2QNp3/3pP2p/3q4/6K1/P5P1/1R6 b - - 0 27
d4f4,1k3r2/pp4r1/2QNp3/3pP2p/3q4/8/P5PK/1R6 b - - 2 28
f4h4,1k3r2/pp4r1/2QNp3/3pP2p/5q2/8/P5P1/1R5K b - - 4 29
b2b4,r2q1rk1/pbpnbppp/1p3n2/3p4/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 w - - 1 10
b4b5,r2q1rk1/1bpnbppp/1p3n2/p2p4/1P1P4/P1NBPN2/5PPP/R1BQ1RK1 w - - 0 11
c1b2,r2qr1k1/1bpnbppp/1p3n2/pP1p4/3P4/P1NBPN2/5PPP/R1BQ1RK1 w - - 1 12
f3e5,r2qrnk1/1bp1bppp/1p3n2/pP1p4/3P4/P1NBPN2/1B3PPP/R2Q1RK1 w - - 3 13
f2f4,r2qrnk1/1bp2ppp/1p1b1n2/pP1pN3/3P4/P1NBP3/1B3PPP/R2Q1RK1 w - - 5 14
c3e4,r2qrnk1/1bp2ppp/1p1b4/pP1pN3/3PnP2/P1NBP3/1B4PP/R2Q1RK1 w - - 1 15
d3c4,r2qrnk1/1bp2ppp/1p1b4/pP2N3/3PpP2/P2BP3/1B4PP/R2Q1RK1 w - - 0 16
d1b3,r2qr1k1/1bp2ppp/1p1bn3/pP2N3/2BPpP2/P3P3/1B4PP/R2Q1RK1 w - - 2 17
a1c1,r3r1k1/1bp1qppp/1p1bn3/pP2N3/2BPpP2/PQ2P3/1B4PP/R4RK1 w - - 4 18
a3a4,r3r2k/1bp1qppp/1p1bn3/pP2N3/2BPpP2/PQ2P3/1B4PP/2R2RK1 w - - 6 19
e5c6,r3r2k/1bp1q1pp/1p1bnp2/pP2N3/P1BPpP2/1Q2P3/1B4PP/2R2RK1 w - - 0 20
b5c6,r3r2k/2p1q1pp/1pbbnp2/pP6/P1BPpP2/1Q2P3/1B4PP/2R2RK1 w - - 0 21
f4f5,r3r2k/2p1q1pp/1pP1np2/p7/PbBPpP2/1Q2P3/1B4PP/2R2RK1 w - - 1 22
h2h4,r3r2k/2p1q1pp/1pP2p2/p4Pn1/PbBPp3/1Q2P3/1B4PP/2R2RK1 w - - 1 23
g2f3,r3r2k/2p1q1pp/1pP2p2/p4P2/PbBPp2P/1Q2Pn2/1B4P1/2R2RK1 w - - 1 24
f1f3,r3r2k/2p1q1pp/1pP2p2/p4P2/PbBP3P/1Q2Pp2/1B6/2R2RK1 w - - 0 25
g1f2,r3r2k/2p3pp/1pP2p2/p4P2/PbBPq2P/1Q2PR2/1B6/2R3K1 w - - 1 26
f2e2,r3r2k/2p3pp/1pP2p2/p4P2/PbBP3q/1Q2PR2/1B3K2/2R5 w - - 0 27
c1f1,r6k/2p3pp/1pP2p2/p4P2/PbBPr2q/1Q2PR2/1B2K3/2R5 w - - 2 28
c4e6,4r2k/2p3pp/1pP2p2/p4P2/PbBPr2q/1Q2PR2/1B2K3/5R2 w - - 4 29
a7a5,rn1q1rk1/p2bnpbp/2p1p1p1/1p1p4/4P3/2PP1NP1/PP1NQPBP/R1B1R1K1 b - - 1 10
h7h6,rn1q1rk1/3bnpbp/2p1p1p1/pp1p4/4P2P/2PP1NP1/PP1NQPB1/R1B1R1K1 b - - 0 11
b5b4,rn1q1rk1/3bnpb1/2p1p1pp/pp1p4/4P2P/2PP1NP1/PP2QPB1/R1B1RNK1 b - - 1 12
b8a6,rn1q1rk1/3bnpb1/2p1p1pp/p2p4/1p2P2P/2PP1NP1/PP1BQPB1/R3RNK1 b - - 1 13
g8h7,r2q1rk1/3bnpb1/n1p1p1pp/p2p4/1p2P2P/2PP1NP1/PP1BQPBN/R3R1K1 b - - 3 14
a6c5,r2q1r2/3bnpbk/n1p1p1pp/p2p4/1p2P1NP/2PP1NP1/PP1BQPB1/R3R1K1 b - - 5 15
d8b6,r2q1r2/3bnpbk/2p1p1pp/p1np4/1p2P1NP/2PP1NP1/PP1BQPB1/3RR1K1 b - - 7 16
e7f5,r4r2/3bnpbk/1qp1p1pp/p1npP3/1p4NP/2PP1NP1/PP1BQPB1/3RR1K1 b - - 0 17
g7f6,r4r2/3b1pbk/1qp1pNpp/p1npPn2/1p5P/2PP1NP1/PP1BQPB1/3RR1K1 b - - 2 18
b6d8,r4r2/3b1p1k/1qp1pPpp/p1np1n2/1p5P/2PP1NP1/PP1BQPB1/3RR1K1 b - - 0 19
d5d4,r2q1r2/3b1p1k/2p1pPpp/p1npNn2/1p5P/2PP2P1/PP1BQPB1/3RR1K1 b - - 2 20
f5h4,r2q1r2/3b1p1k/2p1pPpp/p1n1Nn2/1p1p2PP/2PP4/PP1BQPB1/3RR1K1 b - - 0 21
c5b7,r2q1r2/3b1p1k/2p1pPpp/p1n1N3/1p1P2Pn/3P4/PP1BQPB1/3RR1K1 b - - 0 22
g6g5,r2q1r2/1n1b1p1k/2p1pPpp/p3N3/1p1P2Pn/3PQ3/PP1B1PB1/3RR1K1 b - - 2 23
h4g6,r2q1r2/1n1b1p1k/2p1pP1p/p3N1p1/1p1PB1Pn/3PQ3/PP1B1P2/3RR1K1 b - - 1 24
d8f6,r2q1r2/1n1b1p1k/2p1pPnp/p3N1p1/1p1PB1P1/3P3Q/PP1B1P2/3RR1K1 b - - 3 25
f6d4,r4r2/1n1N1p1k/2p1pqnp/p5p1/1p1PB1P1/3P3Q/PP1B1P2/3RR1K1 b - - 0 26
