r1bqkb1r/1pp2ppp/8/pP2n3/2PB4/P7/4PPPP/RN1QKB1R b KQkq - 0 10,0.17,0.2,-0.39,-0.24,0.31,0.0,0.16,0.0,e5c4,-0.44,0.0,-0.57,-0.12,-0.34,0.06,0.03,0.0,e5c4,-0.44,0.0,-0.57,-0.12,-0.34,0.06,0.03,0.0
r1bqkb1r/1pp2ppp/8/pP6/2nB4/P3P3/5PPP/RN1QKB1R b KQkq - 0 11,-0.36,0.0,-0.01,0.04,0.36,0.06,0.06,0.0,c4d6,-0.21,0.0,0.25,0.15,-0.03,0.06,0.06,0.0,c8e6,-0.48,0.0,-0.2,-0.05,0.02,0.06,0.06,0.0
r1bqkb1r/1pp2ppp/3n4/pP6/3B4/P3P3/2Q2PPP/RN2KB1R b KQkq - 2 12,-0.19,0.0,0.26,0.35,-0.29,0.06,0.06,0.0,c8f5,-0.35,0.0,0.03,0.27,-0.93,0.06,0.06,0.0,d8g5,-0.19,0.0,0.11,0.15,0.02,0.06,0.06,0.0
r2qkb1r/1pp2ppp/3n4/pP3b2/3B4/P2BP3/2Q2PPP/RN2K2R b KQkq - 4 13,-0.23,0.0,0.17,0.31,0.2,0.06,0.06,0.0,f5d3,-2.0,-0.69,-0.16,0.04,-0.91,0.06,-0.03,0.0,f5d3,-2.0,-0.69,-0.16,0.04,-0.91,0.06,-0.03,0.0
r2qkb1r/1pp2ppp/3n4/pP6/3B4/P2QP3/5PPP/RN2K2R b KQkq - 0 14,-0.19,0.0,0.17,0.27,-0.17,0.06,0.05,0.0,d8g5,-0.2,0.0,0.06,0.04,-0.52,0.06,0.05,0.0,d8g5,-0.2,0.0,0.06,0.04,-0.52,0.06,0.05,0.0
r3kb1r/1pp2ppp/3n4/pP4q1/3B4/P1NQP3/5PPP/R3K2R b KQkq - 2 15,0.27,0.0,0.27,0.12,-0.38,0.06,0.05,0.0,g5g2,-0.37,-0.14,0.28,-1.54,-0.37,0.06,-0.0,0.0,g5g2,-0.37,-0.14,0.28,-1.54,-0.37,0.06,-0.0,0.0
r3kb1r/1pp2ppp/3n4/pP6/3B4/P1NQP3/5PqP/2KR3R b kq - 1 16,0.11,-0.14,0.38,-0.71,-0.04,0.06,-0.0,0.0,g2g6,0.11,-0.14,0.37,-0.71,0.22,0.06,-0.0,0.0,g2g6,0.11,-0.14,0.37,-0.71,0.22,0.06,-0.0,0.0
r3kb1r/1pp2ppp/3n2q1/pP6/3BP3/P1NQ4/5P1P/2KR3R b kq - 0 17,0.14,-0.14,0.44,-1.77,0.43,0.06,0.06,0.0,e8c8,-0.33,-0.14,0.47,-0.47,0.43,0.06,0.06,0.0,e8c8,-0.33,-0.14,0.47,-0.47,0.43,0.06,0.06,0.0
2kr1b1r/1pp2ppp/3n2q1/pP6/3BP3/P1NQ1P2/7P/2KR3R b - - 0 18,-0.32,-0.14,0.65,-1.23,0.59,0.06,0.08,0.0,f7f5,-0.31,-0.14,0.46,-1.34,0.52,0.12,0.03,0.0,b7b6,-0.23,-0.14,0.53,-1.34,0.32,0.0,0.14,0.0
2kr1b1r/1pp3pp/3n2q1/pP2Pp2/3B4/P1NQ1P2/7P/2KR3R b - - 0 19,-0.45,-0.14,0.63,-1.22,1.15,0.21,0.06,0.0,d6f7,-0.26,-0.14,0.36,-2.0,-0.26,0.21,0.06,0.0,d6f7,-0.26,-0.14,0.36,-2.0,-0.26,0.21,0.06,0.0
2kr1b1r/1pp2npp/6q1/pP2Pp2/2QB4/P1N2P2/7P/2KR3R b - - 2 20,-0.25,-0.14,0.41,-2.0,0.03,0.38,0.08,0.0,f8a3,,,,,,,,,f8a3,,,,,,,,
2kr3r/1pp2npp/6q1/pP2Pp2/2QB4/b1N2P2/2K4P/3R3R b - - 1 21,-0.95,-0.27,0.37,-1.22,0.39,0.3,0.02,0.0,f7g5,-1.12,-0.27,0.47,0.27,-0.39,0.3,0.02,0.0,g6g2,,,,,,,,
2kr3r/1pp3pp/6q1/pP1NPpn1/2QB4/b4P2/2K4P/3R3R b - - 3 22,-0.9,-0.27,0.48,2.0,-0.36,0.13,-0.0,0.0,d8d5,-2.0,-0.72,0.42,-0.03,-0.38,0.13,-0.05,0.0,g5e6,-0.92,-0.27,0.29,0.18,-0.25,0.13,-0.0,0.0
2k4r/1pp3pp/6q1/pP1QPpn1/3B4/b4P2/2K4P/3R3R b - - 0 23,1.19,-0.95,0.53,0.77,-0.41,0.21,0.0,0.0,h8d8,1.06,-0.95,0.4,0.6,-0.99,0.21,0.0,0.0,h8d8,1.06,-0.95,0.4,0.6,-0.99,0.21,0.0,0.0
2kr4/1pp3pp/6q1/pP2Ppn1/3B4/bQ3P2/2K4P/3R3R b - - 2 24,1.07,-0.95,0.4,-0.5,-0.03,0.3,0.0,0.0,a3b4,0.85,-0.95,0.36,-0.6,-0.33,0.3,0.0,0.0,g5e6,1.05,-0.95,0.21,-2.0,-0.6,0.13,0.0,0.0
2kr4/1pp3pp/6q1/pP2Ppn1/1b1B4/1Q3P2/2K4P/3R2R1 b - - 4 25,0.9,-0.95,0.4,-0.59,-0.08,0.3,0.0,0.0,f5f4,,,,,,,,,f5f4,,,,,,,,
2kr4/1pp3pp/6q1/pP2P1n1/1b1B1p2/3Q1P2/2K4P/3R2R1 b - - 1 26,1.0,-0.95,-0.07,-1.06,-0.25,0.04,0.0,0.0,g6f7,0.99,-0.95,0.25,-2.0,0.55,0.04,0.0,0.0,g6e6,1.0,-0.95,0.25,-2.0,0.59,0.04,0.0,0.0
2kr4/1pp2qpp/8/pP2P1n1/1b1B1p2/3Q1P2/1K5P/3R2R1 b - - 3 27,1.32,-0.95,0.21,-1.91,0.59,0.04,0.0,0.0,g5e6,1.3,-0.95,0.25,-1.15,-1.24,0.04,0.0,0.0,b4c5,1.34,-0.95,0.22,-1.75,0.16,0.04,0.0,0.0
2kr4/1pp2qpp/4n3/pP2P3/1bQB1p2/5P2/1K5P/3R2R1 b - - 5 28,1.31,-0.95,0.25,-1.1,-1.56,0.04,0.0,0.0,f7e7,1.29,-0.95,0.21,-1.18,-1.3,0.04,0.0,0.0,f7f5,1.31,-0.95,0.18,-1.71,-1.38,0.04,0.0,0.0
2kr4/1pp1q1pp/4n3/pP2P3/1bQ2p2/2B2P2/1K5P/3R2R1 b - - 7 29,1.08,-0.95,0.17,-1.2,-0.36,0.04,0.0,0.0,b4c3,,,,,,,,,b4c3,,,,,,,,
rnb1k2r/ppq1ppbp/3p2p1/2p3N1/3P4/1QP1P1P1/PP1N1PP1/R3KB1R b KQkq - 2 10,0.36,-0.05,0.27,2.0,-0.52,0.0,0.09,0.0,e7e6,0.28,-0.05,0.46,2.0,-0.39,0.0,0.04,0.0,e7e6,0.28,-0.05,0.46,2.0,-0.39,0.0,0.04,0.0
rnb1k2r/ppq2pbp/3pp1p1/2p3N1/3P4/1QP1P1P1/PP1N1PP1/2KR1B1R b kq - 1 11,0.75,-0.05,0.46,2.0,-0.39,0.0,0.04,0.0,h7h6,0.84,-0.05,0.46,2.0,-1.66,0.0,0.04,0.0,h7h6,0.84,-0.05,0.46,2.0,-1.66,0.0,0.04,0.0
rnb1k2r/ppq2pb1/3pp1pp/2p5/3PN3/1QP1P1P1/PP1N1PP1/2KR1B1R b kq - 1 12,1.01,-0.05,0.38,2.0,-0.41,0.0,0.04,0.0,c5d4,0.33,-0.31,0.24,2.0,-0.38,-0.15,-0.08,0.0,e8g8,0.31,-0.05,0.38,-0.15,-0.36,0.0,0.04,0.0
rnb1k2r/ppq2pb1/3pp1pp/1B6/3pN3/1QP1P1P1/PP1N1PP1/2KR3R b kq - 1 13,,,,,,,,,b8c6,0.04,-0.31,0.72,0.73,-0.34,-0.15,-0.08,0.0,e8d8,0.51,-0.31,0.49,1.09,-0.64,-0.15,-0.03,0.0
r1b1k2r/ppq2pb1/2npp1pp/1B6/3PN3/1Q2P1P1/PP1N1PP1/2KR3R b kq - 0 14,0.69,-0.09,0.88,0.94,-0.31,0.0,0.11,0.0,a7a6,0.75,-0.09,0.81,0.87,-1.01,0.0,0.11,0.0,e8g8,-0.01,-0.09,0.5,-0.33,-0.37,0.0,0.11,0.0
r1b1k2r/1pq2pb1/p1Bpp1pp/8/3PN3/1Q2P1P1/PP1N1PP1/2KR3R b kq - 0 15,,,,,,,,,b7c6,0.39,0.16,0.14,-0.05,-0.66,0.0,0.11,0.0,b7c6,0.39,0.16,0.14,-0.05,-0.66,0.0,0.11,0.0
r1b1k2r/2q2pb1/p1ppp1pp/8/2NPN3/1Q2P1P1/PP3PP1/2KR3R b kq - 1 16,0.65,0.16,0.24,1.38,-0.76,0.0,0.11,0.0,d6d5,0.63,0.16,0.22,1.3,-2.0,0.0,0.04,0.0,g7f8,0.73,0.16,0.31,1.5,-0.83,0.0,0.11,0.0
r1b1k2r/2q2pb1/p1pNp1pp/3p4/3PN3/1Q2P1P1/PP3PP1/2KR3R b kq - 1 17,,,,,,,,,e8d8,0.69,0.16,0.18,1.79,-1.16,0.0,0.04,0.0,e8d8,0.69,0.16,0.18,1.79,-1.16,0.0,0.04,0.0
r1Nk3r/2q2pb1/p1p1p1pp/3p4/3PN3/1Q2P1P1/PP3PP1/2KR3R b - - 0 18,2.0,0.93,0.25,0.81,-2.0,0.0,0.14,0.0,d5e4,0.15,0.26,0.19,0.94,-1.05,0.0,0.0,0.0,a8b8,2.0,0.93,0.11,0.65,-2.0,0.0,0.14,0.0
r2qkb1r/pp1n1pp1/2p1p3/3p3p/2P1n1P1/1P2PN2/PB1PBP1P/R2QK2R w KQkq - 0 10,0.05,0.05,-0.19,-0.29,-0.08,0.0,-0.09,0.0,g4h5,0.62,0.31,-0.22,-0.37,-0.12,0.0,-0.04,0.0,g4h5,0.62,0.31,-0.22,-0.37,-0.12,0.0,-0.04,0.0
r2qkb2/pp1n1pp1/2p1p3/3p3r/2P1n3/1P2PN2/PB1PBP1P/R2QK2R w KQq - 0 11,-0.1,0.09,-0.36,-0.48,0.19,0.0,-0.11,0.0,d1c2,-0.08,0.09,-0.32,-0.43,0.23,0.0,-0.11,0.0,h2h4,-0.11,0.09,-0.21,-0.45,0.24,0.0,-0.11,0.0
r2qkb2/pp1n1p2/2p1p1p1/3p3r/2P1n3/1P2PN2/PBQPBP1P/R3K2R w KQq - 0 12,-0.07,0.09,-0.31,-0.43,0.21,0.0,-0.11,0.0,a2a3,-0.12,0.09,-0.3,-0.43,0.27,0.0,-0.11,0.0,h2h4,-0.08,0.09,-0.15,-0.4,0.26,0.0,-0.11,0.0
r2qk3/pp1n1p2/2pbp1p1/3p3r/2P1n3/PP2PN2/1BQPBP1P/R3K2R w KQq - 1 13,-0.25,0.09,-0.35,-0.48,0.24,0.0,-0.11,0.0,d2d3,-0.26,0.09,-0.32,-2.0,0.87,0.0,-0.11,0.0,d2d3,-0.26,0.09,-0.32,-2.0,0.87,0.0,-0.11,0.0
r2qk3/pp1n1p2/2pbp1p1/3p2nr/2P5/PP1PPN2/1BQ1BP1P/R3K2R w KQq - 1 14,-0.06,0.09,-0.11,-1.5,0.26,0.0,-0.03,0.0,f3d2,-0.16,0.09,-0.25,-0.25,0.65,0.0,-0.03,0.0,f3g5,2.0,0.75,-0.16,-0.89,-0.28,0.0,0.04,0.0
r2qk3/pp1n1p2/2pbp1p1/3p2n1/2P5/PP1PP2r/1BQNBP1P/R3K2R w KQq - 3 15,-0.12,0.09,-0.25,-0.44,0.23,0.0,-0.03,0.0,e1c1,0.36,0.09,-0.2,-0.37,0.17,0.0,-0.03,0.0,e2f1,-0.17,0.09,-0.29,-0.6,0.65,0.0,-0.03,0.0
r3k3/pp1nqp2/2pbp1p1/3p2n1/2P5/PP1PP2r/1BQNBP1P/2KR3R w q - 5 16,0.32,0.09,0.0,-0.33,0.17,0.0,-0.03,0.0,b3b4,0.28,0.09,0.17,-0.56,0.42,0.0,0.0,0.0,e2f1,0.26,0.09,-0.09,-0.33,0.6,0.0,-0.03,0.0
r3k3/1p1nqp2/2pbp1p1/p2p2n1/1PP5/P2PP2r/1BQNBP1P/2KR3R w q - 0 17,0.32,0.09,0.13,-0.61,0.42,0.0,0.0,0.0,c4c5,0.23,0.09,0.16,-0.3,1.19,0.0,0.1,0.0,e2f1,0.26,0.09,0.03,-0.61,0.85,0.0,0.0,0.0
r3k3/1pbnqp2/2p1p1p1/p1Pp2n1/1P6/P2PP2r/1BQNBP1P/2KR3R w q - 1 18,0.22,0.09,0.23,-0.39,0.19,0.0,0.1,0.0,c1b1,0.49,0.09,0.3,0.01,0.19,0.0,0.1,0.0,e2f1,0.16,0.09,0.13,-0.39,0.62,0.0,0.1,0.0
r3k3/1pbnqp2/2p1p1p1/2Pp2n1/1p6/P2PP2r/1BQNBP1P/1K1R3R w q - 0 19,-0.03,-0.1,-0.01,-0.99,0.32,-0.25,-0.12,0.0,a3b4,0.51,0.13,0.19,-1.18,0.23,0.0,0.09,0.0,a3b4,0.51,0.13,0.19,-1.18,0.23,0.0,0.09,0.0
r3k3/2bnqp2/1pp1p1p1/2Pp2n1/1P6/3PP2r/1BQNBP1P/1K1R3R w q - 0 20,0.6,0.13,0.19,-1.14,0.19,0.0,0.09,0.0,c5b6,1.13,0.35,0.11,-1.46,0.5,1.29,0.05,0.0,c5b6,1.13,0.35,0.11,-1.46,0.5,1.29,0.05,0.0
r3k3/3nqp2/1bp1p1p1/3p2n1/1P6/3PP2r/1BQNBP1P/1K1R3R w q - 0 21,0.58,0.18,0.22,-1.57,0.28,0.0,-0.05,0.0,c2c6,1.23,0.37,0.72,1.48,0.55,0.16,0.04,0.0,c2c6,1.23,0.37,0.72,1.48,0.55,0.16,0.04,0.0
1r2k3/3nqp2/1bQ1p1p1/3p2n1/1P6/3PP2r/1B1NBP1P/1K1R3R w - - 1 22,1.17,0.37,0.86,0.01,-0.12,0.16,0.04,0.0,b2a3,1.1,0.37,0.67,-0.63,0.22,0.16,0.04,0.0,b1c2,0.73,0.37,1.06,0.33,-0.12,0.16,0.04,0.0
1r2k3/3nqp2/2Q1p1p1/2bp2n1/1P6/B2PP2r/3NBP1P/1K1R3R w - - 3 23,1.08,0.37,0.37,-0.89,1.22,0.08,0.04,0.0,b1a2,0.85,0.37,0.64,-0.69,1.22,0.08,0.04,0.0,b1a2,0.85,0.37,0.64,-0.69,1.22,0.08,0.04,0.0
1r2k3/3nqp2/2Q1p1p1/3p2n1/1b6/B2PP2r/K2NBP1P/3R3R w - - 0 24,0.33,0.22,0.56,-1.16,-0.22,0.0,-0.04,0.0,d1b1,0.26,0.22,0.57,-1.15,0.38,0.0,-0.04,0.0,d1b1,0.26,0.22,0.57,-1.15,0.38,0.0,-0.04,0.0
1r3k2/3nqp2/2Q1p1p1/3p2n1/1b6/B2PP2r/K2NBP1P/1R5R w - - 2 25,-0.09,0.22,0.19,-1.68,0.0,0.0,-0.04,0.0,b1b4,2.0,0.53,0.53,-1.08,-0.52,0.0,0.03,0.0,b1b4,2.0,0.53,0.53,-1.08,-0.52,0.0,0.03,0.0
5k2/3nqp2/2Q1p1p1/3p2n1/1r6/B2PP2r/K2NBP1P/7R w - - 0 26,-2.0,0.71,0.24,-0.05,0.4,0.0,-0.01,0.0,h1b1,-2.0,0.71,0.29,1.62,0.73,0.0,-0.01,0.0,h1b1,-2.0,0.71,0.29,1.62,0.73,0.0,-0.01,0.0
5k2/3nqp2/2Q1p1p1/3p2n1/1r5r/B2PP3/K2NBP1P/1R6 w - - 2 27,-1.97,0.71,0.25,-0.13,0.52,0.0,-0.01,0.0,f2f4,-1.98,0.71,0.36,1.92,1.47,0.0,0.02,0.0,f2f4,-1.98,0.71,0.36,1.92,1.47,0.0,0.02,0.0
5k2/3nqp2/2Q1p1p1/3p2n1/5P1r/B2PP3/K2NB2P/1r6 w - - 0 28,-2.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,d2b1,-2.0,0.54,0.56,2.0,2.0,0.0,0.0,0.0,d2b1,-2.0,0.54,0.56,2.0,2.0,0.0,0.0,0.0
5k2/3nqp2/2Q1p1p1/3p2n1/5P2/B2PP3/K3B2r/1N6 w - - 0 29,-2.0,0.38,0.1,2.0,1.84,0.0,0.0,0.0,c6d7,0.66,0.73,0.11,2.0,1.73,0.0,0.0,0.0,b1c3,-2.0,0.38,0.12,2.0,2.0,0.0,0.0,0.0
rn2k1nr/ppp1qpb1/6pp/3p4/4PP2/6PB/PPP1P2P/RNBQ1RK1 b kq - 0 10,2.0,0.31,0.36,-0.92,0.01,0.0,0.14,0.0,d5e4,1.3,0.09,0.34,-0.77,-0.06,0.0,-0.07,0.0,d5e4,1.3,0.09,0.34,-0.77,-0.06,0.0,-0.07,0.0
