r1b2rk1/ppq1p1bp/n1pp1np1/5p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 w - - 3 10,0.3,0.0,0.17,0.24,-0.03,0.0,0.1,0.0,a1c1,0.38,0.0,0.18,0.24,-0.03,0.0,0.1,0.0,d4d5,0.21,0.0,0.2,0.24,-0.03,0.0,0.2,0.0
r1b2rk1/ppq3bp/n1pp1np1/4pp2/2PP4/1PN2NP1/PB2PPBP/2RQ1RK1 w - - 0 11,0.27,0.0,-0.08,0.2,-0.26,0.0,-0.1,0.0,c3b5,0.3,0.0,0.08,0.16,-0.57,0.0,-0.05,0.0,d4d5,0.18,0.0,-0.05,0.2,-0.26,0.0,-0.07,0.0
r1bq1rk1/pp4bp/n1pp1np1/1N2pp2/2PP4/1P3NP1/PB2PPBP/2RQ1RK1 w - - 2 12,0.32,0.0,0.07,0.16,-0.98,0.0,-0.05,0.0,d4e5,1.08,0.28,0.39,0.24,0.12,0.15,0.17,0.0,d4e5,1.08,0.28,0.39,0.24,0.12,0.15,0.17,0.0
r1bq1rk1/pp4bp/n1pp2p1/1N2Pp2/2P1n3/1P3NP1/PB2PPBP/2RQ1RK1 w - - 1 13,0.86,0.28,0.28,0.12,-0.64,0.15,0.12,0.0,b5c3,0.83,0.28,0.01,0.12,0.14,0.15,0.07,0.0,b5c3,0.83,0.28,0.01,0.12,0.14,0.15,0.07,0.0
r1bq1rk1/pp4bp/2pp2p1/2n1Pp2/2P1n3/1PN2NP1/PB2PPBP/2RQ1RK1 w - - 3 14,0.34,0.28,0.01,0.08,0.48,0.15,0.07,0.0,e5d6,1.07,0.55,-0.16,0.12,-0.03,0.95,0.13,0.0,e5d6,1.07,0.55,-0.16,0.12,-0.03,0.95,0.13,0.0
r1b2rk1/pp4bp/2pq2p1/2n2p2/2P1n3/1PN2NP1/PB2PPBP/2RQ1RK1 w - - 0 15,0.35,0.26,-0.25,0.04,-0.01,0.0,-0.04,0.0,d1d6,2.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,d1d6,2.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
r1b2rk1/pp4bp/2pn2p1/2n2p2/2P5/1PN2NP1/PB2PPBP/2R2RK1 w - - 0 16,0.55,0.28,0.05,0.27,0.1,0.0,0.0,0.0,f1d1,0.59,0.28,0.19,0.27,0.64,0.0,0.0,0.0,b2a3,0.48,0.28,0.05,0.27,0.66,0.0,0.0,0.0
r1b2rk1/pp4bp/2p3p1/2n2p2/2P1n3/1PN2NP1/PB2PPBP/2RR2K1 w - - 2 17,0.4,0.28,0.14,0.16,0.01,0.0,0.0,0.0,f3d2,0.3,0.28,-0.09,0.08,-0.06,0.0,0.0,0.0,b3b4,0.37,0.28,0.13,0.16,0.61,0.0,0.0,0.0
r1b2rk1/pp4bp/2p3p1/2n2p2/2P5/1Pn3P1/PB1NPPBP/2RR2K1 w - - 0 18,-2.0,-0.31,0.0,0.16,-0.07,0.0,0.0,0.0,b2c3,0.46,0.23,0.2,0.31,0.23,0.0,0.0,0.0,b2c3,0.46,0.23,0.2,0.31,0.23,0.0,0.0,0.0
r1b2rk1/pp5p/2p3p1/2n2p2/2P5/1Pb3P1/P2NPPBP/2RR2K1 w - - 0 19,-2.0,-0.6,-0.22,0.2,0.34,0.0,0.0,0.0,c1c3,0.58,0.19,0.06,0.24,0.26,0.0,0.0,0.0,c1c3,0.58,0.19,0.06,0.24,0.26,0.0,0.0,0.0
r1br2k1/pp5p/2p3p1/2n2p2/2P5/1PR3P1/P2NPPBP/3R2K1 w - - 1 20,0.54,0.19,0.02,0.24,0.09,0.0,0.0,0.0,c3c1,0.48,0.19,0.12,0.24,0.05,0.0,0.0,0.0,c3c1,0.48,0.19,0.12,0.24,0.05,0.0,0.0,0.0
r1br2k1/1p5p/2p3p1/p1n2p2/2P5/1P4P1/P2NPPBP/2RR2K1 w - - 0 21,0.51,0.19,0.07,0.24,-0.18,0.0,0.0,0.0,d2f3,0.61,0.19,0.27,0.32,0.47,0.0,0.0,0.0,f2f4,0.5,0.19,0.14,0.0,-0.18,0.0,0.0,0.0
