rnbqr1k1/pp3ppp/2pb1n2/3pN3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - - 4 10,0.62,0.0,-0.1,-0.11,-0.4,0.0,0.0,0.0,f2f4,0.61,0.0,-0.11,-0.5,-0.33,0.0,0.12,0.0,e2e4,0.73,0.0,0.14,0.06,-0.61,0.0,0.24,0.0
rn1qr1k1/pp3ppp/2pb1n2/3pNb2/3P1P2/2N3P1/PP2P1BP/R1BQ1RK1 w - - 1 11,0.45,0.0,-0.38,-0.47,-0.03,0.0,0.06,0.0,h2h3,0.37,0.0,-0.35,-0.39,0.01,0.0,0.06,0.0,g3g4,0.44,0.0,-0.3,-0.57,1.14,0.0,0.12,0.0
rn1qr1k1/pp3ppp/2pb4/3pNb2/3PnP2/2N3PP/PP2P1B1/R1BQ1RK1 w - - 1 12,0.15,0.0,-0.35,-0.84,-0.54,0.0,0.0,0.0,g3g4,0.14,0.0,-0.36,-0.77,0.74,0.0,0.06,0.0,g3g4,0.14,0.0,-0.36,-0.77,0.74,0.0,0.06,0.0
rn1qr1k1/pp3ppp/2pb4/3pNb2/3P1PP1/2n4P/PP2P1B1/R1BQ1RK1 w - - 0 13,-2.0,-0.66,-0.41,-0.6,1.4,0.0,0.03,0.0,b2c3,0.4,0.0,-0.16,-0.48,0.77,0.0,0.05,0.0,b2c3,0.4,0.0,-0.16,-0.48,0.77,0.0,0.05,0.0
rn1qr1k1/pp3ppp/2pb4/3pN3/3PbPP1/2P4P/P3P1B1/R1BQ1RK1 w - - 1 14,0.37,0.0,0.04,-0.59,-0.33,0.0,0.0,0.0,g2e4,2.0,0.75,0.39,0.66,-1.57,0.0,0.21,0.0,g2e4,2.0,0.75,0.39,0.66,-1.57,0.0,0.21,0.0
rn1qr1k1/pp3ppp/2pb4/4N3/3PpPP1/2P4P/P3P3/R1BQ1RK1 w - - 0 15,0.52,0.0,0.01,-0.42,-0.36,0.0,-0.03,0.0,d1b3,0.53,0.0,0.16,1.65,-0.1,0.0,0.0,0.0,a1b1,0.58,0.0,0.11,-0.41,-0.08,0.0,-0.03,0.0
rn2r1k1/ppq2ppp/2pb4/4N3/3PpPP1/1QP4P/P3P3/R1B2RK1 w - - 2 16,0.51,0.0,0.31,-0.13,-0.44,0.0,0.0,0.0,c1a3,0.52,0.0,0.45,-0.14,-0.47,0.0,0.0,0.0,a2a4,0.48,0.0,0.37,-0.12,-0.4,0.0,0.0,0.0
rn2r1k1/ppq2ppp/2p5/4N3/3PpPP1/bQP4P/P3P3/R4RK1 w - - 0 17,-2.0,-0.44,0.12,-0.21,0.16,0.0,-0.05,0.0,b3a3,0.59,0.0,0.39,-0.25,-0.43,0.0,0.0,0.0,b3a3,0.59,0.0,0.39,-0.25,-0.43,0.0,0.0,0.0
rn2r1k1/ppq3pp/2p2p2/4N3/3PpPP1/Q1P4P/P3P3/R4RK1 w - - 0 18,0.58,0.0,0.33,1.34,-1.07,0.0,0.0,0.0,a3b3,,,,,,,,,a3b3,,,,,,,,
rn2rk2/ppq3pp/2p2p2/4N3/3PpPP1/1QP4P/P3P3/R4RK1 w - - 2 19,0.89,0.0,0.39,2.0,-0.97,0.0,0.0,0.0,e5c4,0.84,0.0,0.3,1.46,-0.23,0.0,0.0,0.0,g4g5,0.81,0.0,0.39,2.0,-0.97,0.0,0.0,0.0
